idx_cronologico,es_dev,T_media_R,beta_G_filt,beta_C_filt,beta_G_smooth,beta_C_smooth,sd_G_smooth,sd_C_smooth,beta_G_smooth_lo,beta_G_smooth_hi,beta_C_smooth_lo,beta_C_smooth_hi
AP0133,True,1009.7465639645928,-1.7599572415328024,-0.38901639453842657,-1.8104667611297312,1.0301621590251762,0.7940469820119405,0.6761016538348749,-3.3667988458731344,-0.2541346763863279,-0.2949970824911785,2.3553214005415306
AP0134,True,1091.8872822082694,-1.760066353894485,-0.44969166526525484,-1.8075518419790981,1.031705334447186,0.7938118643878365,0.6761308801418481,-3.3634230961792575,-0.25168058777893876,-0.2935111906308361,2.356921859525208
AP0135,True,1063.1015055814212,-1.7868796706856707,-0.4393094924050213,-1.804417479684431,1.0332528060108745,0.793379835968605,0.6761570112873371,-3.359441958182897,-0.2493930011859653,-0.2920149361123061,2.358520548134055
AP0136,True,995.0758360302592,-1.8089146390627846,-0.3473814871829154,-1.800637117614057,1.0346389480794107,0.7927636544556841,0.6761876065289245,-3.3544538803471977,-0.24682035488091625,-0.2906887607172812,2.359966656876103
AP0137,True,1008.316913553642,-1.7891669731652067,-0.272270181223498,-1.7968928792887155,1.03605413174666,0.7919518057953521,0.6762255211068665,-3.3491184186476053,-0.2446673399298256,-0.28934788962279834,2.3614561531161185
AP0138,True,1015.7172687056964,-2.0075183019087173,-0.3410296333347721,-1.7934043334731438,1.037456737251297,0.7909487047803515,0.6762603782500396,-3.343663794842633,-0.24314487210365487,-0.28801360411878063,2.3629270786213747
AP0139,True,978.6369033555936,-1.9935741685110029,-0.3234852013032509,-1.7849514853516837,1.0389158265434741,0.7900060775856672,0.6762919267390182,-3.3333633974195913,-0.23653957328377606,-0.2866163498650014,2.3644480029519497
AP0140,True,995.5454029172862,-1.9550454396085502,-0.3102853901430916,-1.7766898146249948,1.0403974045565052,0.7888727185287754,0.6763223333901895,-3.3228803429413944,-0.23049928630859506,-0.2851943688882663,2.3659891780012767
AP0141,True,1038.1991702201565,-1.9924800516937748,-0.37456607103121353,-1.7687522672041136,1.0418949686208294,0.7875902391657713,0.6763517764443462,-3.312429135969025,-0.22507539843920177,-0.28375451321008915,2.367544450451748
AP0142,True,1024.4181647729033,-1.6907617331513438,-0.20092670083994552,-1.7593177605585324,1.0434633730359388,0.7861516174798702,0.6763784044584252,-3.300174930819078,-0.2184605902979868,-0.2822382997025745,2.3691650457744524
AP0143,True,1033.7299956083807,-1.727227209449182,-0.15747053461735008,-1.7533992969431746,1.0448614091634785,0.7848014271542134,0.6764053304925216,-3.291610094165433,-0.21518849972091636,-0.28089303860186376,2.3706158569288207
AP0144,True,1033.1048348301465,-1.8462213275322412,-0.10579017628117178,-1.7475732494640974,1.04629320625786,0.7832477879465493,0.6764302510709753,-3.282738913839334,-0.21240758508886093,-0.2795100858412516,2.3720964983569717
AP0145,True,993.8592872795356,-1.8665139493264382,-0.10427251171315324,-1.7415464875918223,1.0477217233399345,0.7817857459925492,0.6764524196781101,-3.2738465497372187,-0.2092464254464259,-0.27812501922916133,2.37356846590903
AP0146,True,1033.608169875235,-1.876345134893154,0.03155342395665686,-1.734650948307482,1.0490962555686816,0.7801968576260433,0.6764753362898274,-3.263836789254527,-0.205465107360437,-0.27679540355938004,2.374987914696743
AP0147,True,1113.295551616674,-2.090565674994058,0.08614812025160512,-1.7282091328533058,1.050377117036542,0.7784079432115945,0.6764967218860699,-3.253888701548031,-0.2025295641585807,-0.27555645786015504,2.376310691933239
AP0148,True,1034.4746147926146,-2.0955709649911953,0.07391209622783587,-1.7198947716069233,1.0516858210781102,0.7765966924293155,0.6765157204553374,-3.2420242887683814,-0.1977652544454649,-0.274284991014351,2.377656633170571
AP0149,True,1009.8224129779549,-1.9340638442964473,0.20613904889436607,-1.7119076390177719,1.0532017733729542,0.7745756312532299,0.6765364967478994,-3.2300758762741024,-0.19373940176144133,-0.2728097602529287,2.379213306998837
AP0150,True,1043.7129851098996,-1.9280277031267108,0.20402683114849063,-1.7063197981540152,1.0546020560944216,0.7724341404827099,0.6765549885672739,-3.220290713500127,-0.19234888280790385,-0.2714457214974353,2.3806498336862782
AP0151,True,1012.6780702650124,-1.9518194128561195,0.2870632193480378,-1.7009954762480084,1.0559823928245418,0.7701409602376952,0.6765730241526025,-3.210471758313891,-0.19151919418212593,-0.27010073451455896,2.3820655201636427
