grupo,candidata,spec,muestra,n,pendiente,se,t,p_uni,spearman,sd_score,p_perm_bilateral
F,enriq,cand(xG+xC+F_enriq),DEV,198,0.4981397791030261,0.2596377609785852,1.9185952660565133,0.027517787588236798,0.18401575636991294,1.3146540710523618,
F,enriq,cand(xG+xC+F_enriq),LOCKBOX,63,0.10062966668955863,0.31629422076866814,0.318152087777656,0.37518478714953285,-0.08304531490015361,1.739334169839867,
F,enriq,cand(xG+xC+F_enriq),TOTAL,261,0.34871580146002557,0.1989942097060555,1.7523917001159555,0.03985323881993979,0.13144957174965072,1.5501597658356596,
F,enriq,PERM_bloques20(n=1200),DEV,198,0.4981397791030261,,1.9185952660565133,0.027517787588236798,0.18401575636991294,1.3146540710523618,0.6627810158201499
F,aire,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
F,aire,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
F,aire,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
F,aire,cand(xG+xC+F_aire),DEV,198,0.5843655598018085,0.2690102197408456,2.172280147441106,0.014917269261836699,0.18285165250958685,1.2409484448454504,
F,aire,cand(xG+xC+F_aire),LOCKBOX,63,0.3428476020966635,0.45895530724298794,0.7470174038430877,0.2275265277211982,0.003792242703533026,1.2605566375669497,
F,aire,cand(xG+xC+F_aire),TOTAL,261,0.5164323174566653,0.22501977413279176,2.2950530434356455,0.010865042317220928,0.15058078711671763,1.3384660227586789,
F,aire,PERM_bloques20(n=1200),DEV,198,0.5843655598018085,,2.172280147441106,0.014917269261836699,0.18285165250958685,1.2409484448454504,0.350541215653622
F,esteq,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
F,esteq,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
F,esteq,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
F,esteq,cand(xG+xC+F_esteq),DEV,198,0.4555801476790084,0.22106994914409248,2.060796365326267,0.01966123569609525,0.19541717200059674,1.5042608294442863,
F,esteq,cand(xG+xC+F_esteq),LOCKBOX,63,0.5960085865043114,0.2835591362856612,2.1018846167731464,0.017781692203908173,0.19215629800307218,1.875850016396835,
F,esteq,cand(xG+xC+F_esteq),TOTAL,261,0.49248370411522563,0.1750654331592986,2.813140751019056,0.002453008577893867,0.18400186283839876,1.6733860933004794,
