idx_cronologico,T_media_R,kpi,kalman_continuo_qctrl0,kalman_periodico10_qctrl0,kalman_adaptativo20_qctrl0,W100_duro (referencia v9),exp_semivida60,expansiva
AP0268,978.0422592349396,69.50400992300996,-0.41385857940910276,-0.3560585458876927,-0.4511644441984353,-0.30146109320260844,-0.35662694964412356,-0.38064952688952636
AP0269,964.8516577261694,76.65970458269598,-0.14748403449306643,-0.13304369020827744,-0.1372069232280132,-0.10526460221640824,-0.11766448471953037,-0.12236616098154302
AP0270,1011.629352364228,69.52230941540435,1.050597160363782,0.9929652030070462,0.8076199264273097,0.7330658702864763,0.7670921079731913,0.7717265874283404
AP0271,950.7085243583042,69.33277183560936,1.1104144970787384,1.0134584063526297,0.973719020071848,0.7826798393139267,0.855794796489817,0.8805029557938132
AP0272,933.9379558938174,76.49929603629987,0.43117520975925394,0.43117520975925394,0.6600356969829133,1.4158779509604382,0.9127897789614245,0.6041366020299775
AP0273,956.0540189465282,74.94921003385784,0.6237225035187215,0.6654248960385492,0.3010330431355445,-0.019130242512163775,0.3593755598405336,0.4291605776457411
AP0274,949.4283326489008,75.57281944322924,-0.5870054086107976,-0.6090283253822493,-0.26440858066979556,0.2190940171470167,-0.23295353659129625,-0.34676918614435087
AP0275,976.6631009870064,71.9783391367337,-0.07463386362673399,-0.06385822556619733,-0.09734385951366711,-0.1335235919720208,-0.09892531073393707,-0.07208539852060855
AP0276,1027.6906840714923,61.49212964484874,0.9786735348996297,0.966574330185599,0.8380600320876866,0.8280429427533917,0.9294327638656402,0.818757934661902
AP0277,987.150803359886,67.12866358814517,-0.32913987789422344,-0.3850130374780477,-0.11505720572582478,0.0361785149966391,-0.19598027654552785,-0.24257895106226102
AP0278,1017.0497111596892,67.97021900535015,-0.11725352506828135,0.19878085547255187,-1.2121345985574572,-2.494485671957407,-1.077416223325662,-0.43994700121364405
AP0279,1048.4132240862373,74.54813402618969,-0.04455489202494382,-0.042386218517294516,-0.04717354507450349,-0.06334693497704925,-0.05362769739284074,-0.04207599550923113
AP0280,1013.2267955573508,72.32601631826518,-0.16889690407346905,-0.2186850823326818,-0.015547497873496158,0.14431327322923682,-0.05239810231368297,-0.10952989000494467
AP0281,1004.2016820338952,69.42098665784579,0.24068740996044216,0.27668577737651995,0.12784774226754914,0.054047314735251595,0.17894522565149387,0.19260039323215253
AP0282,1025.8459784647498,71.78494013150659,-0.4866520373479187,-0.4866520373479187,-0.37231206880208595,-0.23621739467996683,-0.38064647805921087,-0.3993168243180395
AP0283,1031.12878859677,76.62586616936464,0.4368175477860083,0.44024115780646805,0.3838201446063749,0.362044881067909,0.4322390662866138,0.3912336428003893
AP0284,1040.9719364538362,68.9065933024852,2.072253573060801,2.0576568907319777,1.67443804691936,1.207401795744831,1.7330496201048995,1.7305739773252447
AP0285,1053.7250588113984,62.855143430618575,-0.6297456452984836,-0.6394784608990639,-0.5154273741368551,-0.4153814012636555,-0.5623813186772189,-0.545945375752141
