target,fase,feature,rol,ks_stat,ks_p,frac_fuera_p1p99_lockbox,p1_dev,p99_dev,media_dev,media_lockbox,n_dev,n_lockbox,features_100pct_fuera,r2_oof_con,r2_lockbox_con,r2_oof_sin,r2_lockbox_sin
v5_d_lnirf,Fusión,masa_escoria_est_kg_prev,estado,0.06065593866982407,0.19426839011156466,0.0,7.815854826280341e-21,66197.77696466727,28032.21978843501,28950.013234046397,1779,376,(ninguna),0.41512375681158065,-0.015553108284338535,,
v5_d_lnirf,Fusión,orden_escalon_fase,estado,0.0,1.0,0.0,1.0,6.0,3.5,3.5,1794,378,(ninguna),0.41512375681158065,-0.015553108284338535,,
v5_d_lnirf,Fusión,relacion_C_Sn_carga,palanca,0.06243799603174603,0.1671730629000839,0.018518518518518517,0.16367448822816166,0.407160981805412,0.2865876418183259,0.282611833769597,1792,378,(ninguna),0.41512375681158065,-0.015553108284338535,,
v5_d_lnirf,Fusión,tasa_gn_nm3_min,palanca,0.6196850184580246,4.642516377007497e-114,0.2037037037037037,24.469328058635398,32.070557411375745,30.23013358807101,31.32460206324416,1793,378,(ninguna),0.41512375681158065,-0.015553108284338535,,
v5_d_lnirf,Fusión,exceso_o2_combustion_pct,palanca,0.12029438409806507,0.0002132335007881128,0.026455026455026454,12.498036906966568,28.889719427645595,19.00358385221976,19.362304184544236,1793,378,(ninguna),0.41512375681158065,-0.015553108284338535,,
v5_d_lnirf,Fusión,tasa_aire_nm3_min,palanca,0.43801206844685103,1.2044363039194847e-54,0.021164021164021163,96.55155981697688,124.55490193718803,120.37167078246182,118.8042801353578,1794,378,(ninguna),0.41512375681158065,-0.015553108284338535,,
sn_extraido_est_kg,Fusión,cum_feed_reciclo_kg_prev,estado,0.3113209778014247,2.7208126368376617e-27,0.013227513227513227,0.0,8828.963510194964,2657.5760045341835,3989.760529417152,1790,378,(ninguna),0.7218053706301413,0.6417919614208667,,
sn_extraido_est_kg,Fusión,cum_feed_carga_secundaria_kg_prev,estado,0.11728790060257026,0.00033651532721645604,0.0,0.5730257291641507,52669.852327660985,22564.67977749877,20758.37215598502,1786,378,(ninguna),0.7218053706301413,0.6417919614208667,,
sn_extraido_est_kg,Fusión,sn_inventario_escoria_est_kg_prev,estado,0.13182993083311395,3.6273443076285896e-05,0.005319148936170213,1.5733278775903401e-21,14958.757842790634,5440.268238405465,6419.35751603362,1778,376,(ninguna),0.7218053706301413,0.6417919614208667,,
sn_extraido_est_kg,Fusión,feo_inventario_escoria_est_kg_prev,estado,0.05298966667862653,0.3344434191935159,0.0,1.2316788275799273e-21,11524.634537437067,4925.16092449922,4874.778682512597,1779,376,(ninguna),0.7218053706301413,0.6417919614208667,,
sn_extraido_est_kg,Fusión,tiempo_fase,estado,0.09285802764063633,0.00850451079033111,0.007936507936507936,55.0,339.1399999999999,169.8907469342252,174.84391534391534,1794,378,(ninguna),0.7218053706301413,0.6417919614208667,,
sn_extraido_est_kg,Fusión,relacion_C_Sn_carga,palanca,0.06243799603174603,0.1671730629000839,0.018518518518518517,0.16367448822816166,0.407160981805412,0.2865876418183259,0.282611833769597,1792,378,(ninguna),0.7218053706301413,0.6417919614208667,,
sn_extraido_est_kg,Fusión,tasa_gn_nm3_min,palanca,0.6196850184580246,4.642516377007497e-114,0.2037037037037037,24.469328058635398,32.070557411375745,30.23013358807101,31.32460206324416,1793,378,(ninguna),0.7218053706301413,0.6417919614208667,,
sn_extraido_est_kg,Fusión,exceso_o2_combustion_pct,palanca,0.12029438409806507,0.0002132335007881128,0.026455026455026454,12.498036906966568,28.889719427645595,19.00358385221976,19.362304184544236,1793,378,(ninguna),0.7218053706301413,0.6417919614208667,,
sn_extraido_est_kg,Fusión,tasa_aire_nm3_min,palanca,0.43801206844685103,1.2044363039194847e-54,0.021164021164021163,96.55155981697688,124.55490193718803,120.37167078246182,118.8042801353578,1794,378,(ninguna),0.7218053706301413,0.6417919614208667,,
v5_sdi_w10,Reducción,ley_sn_escoria_pct_prev,estado,0.10704948646125116,0.015624113008575297,0.03571428571428571,0.706001,21.818936999999966,5.819674033613445,6.64269880952381,1190,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,interaccion_Sn_x_FeO_prev,estado,0.10275900900900901,0.022875291151157003,0.06349206349206349,12.648549423093783,371.2268894357496,106.4528468398345,120.77435560892549,1184,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,posicion_vertical_lanza_mm_prev,estado,0.11007836886497975,0.011772810086939367,0.023809523809523808,2083.3985426025392,5230.853620391032,3386.069593115281,3221.209811993943,1195,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,cum_aire_nm3_prev,estado,0.03632478632478633,0.9354005504089888,0.01984126984126984,34958.662272813584,49758.49691473958,41901.281610977516,42198.119494373444,1196,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,sn_inventario_escoria_est_kg_prev,estado,0.10376447876447877,0.020962535535132897,0.023809523809523808,1.3532265256291726e-21,15637.985943441656,3511.7220989467532,4101.234894669954,1184,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,ley_cao_escoria_pct_prev,estado,0.2909985935302391,4.780092958171654e-16,0.011904761904761904,15.435648,27.155928,21.76835029535865,20.474467063492064,1185,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,basicidad_B2_prev,estado,0.06872614024512759,0.2658803503719145,0.003968253968253968,0.4364568028854169,0.6856273599290753,0.5533497231038172,0.5450048546748248,1185,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,basicidad_B4_prev,estado,0.05736387381957002,0.4807337035009291,0.003968253968253968,0.36233588723292476,0.5643030781593699,0.457182031602236,0.4561844179378432,1185,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,indice_estructural_molar_prev,estado,0.23572232947232946,1.2484743158587777e-10,0.007936507936507936,0.7548776505156481,1.052905852440351,0.8948499416204644,0.9145282732991965,1184,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,indice_irf_prev,estado,0.21675246675246676,4.807560237811656e-09,0.023809523809523808,0.18693927076384773,0.3321528639204223,0.25168653752706244,0.26593698990242964,1184,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,ratio_sn_feo_prev,estado,0.10746460746460747,0.015090580122587453,0.027777777777777776,0.0406741059748253,1.3019669849931492,0.320376156572687,0.3672389880088666,1184,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,interaccion_FeO_x_B2_prev,estado,0.06362612612612613,0.35241912748901905,0.003968253968253968,7.272325264828037,13.161988346674395,10.261648393704435,10.137214523595352,1184,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,grad_temperatura_horno_celsius_prev,estado,0.13165578382969687,0.0013078114290463734,0.003968253968253968,-2.7108537226707043,1.2003441885722361,-0.33020350675553245,-0.16017205090955508,1196,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,cum_feed_total_kg_prev,estado,0.5523172479694218,1.8838640012455418e-59,0.13095238095238096,105923.28328619881,136966.8007162449,126656.20992008099,133236.5814938873,1196,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,cum_feed_CaO_kg_prev,estado,0.6653106803860572,3.4200001266938696e-89,0.0,7.875125078253161e-21,15574.207166146947,11999.50878982267,11307.424357968303,1194,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,cum_feed_Carbon_kg_prev,estado,0.2999946912990391,4.561076467635404e-17,0.0873015873015873,12445.361752147164,18140.658399824086,15385.89959969271,16167.931321675347,1196,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,feo_inventario_escoria_est_kg_prev,estado,0.1371513102282333,0.0007125102032663951,0.0,6.225823728470005e-21,15535.54978309322,10382.183186180206,10363.407990301812,1183,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,avance_reduccion_sn_prev,estado,0.08474099099099099,0.09471368861075875,0.007936507936507936,0.6839157368771187,1.0,0.9296468999721678,0.9236975941071325,1184,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,ley_sn_carga_batch_pct,estado,0.6179858788554441,9.379779473060274e-76,0.0,35.16111772399985,44.192824650175766,39.667205180012424,40.65658692730829,1196,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,v5_exceso_C_pos,palanca,0.09108215358215359,0.059259939943803235,0.0,0.0,1484.2740452089097,156.5863814160315,123.1878091720914,1184,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,v5_C_x_avance,palanca,0.08515658515658515,0.09194015436298922,0.003968253968253968,32.922671115423384,1740.6436011204792,636.8961956758101,647.7817840833881,1184,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,tasa_gn_nm3_min,palanca,0.18788386376326074,6.63590411301181e-07,0.19444444444444445,10.380907532254955,29.60074318613833,21.822467653630564,22.596436311715834,1194,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,exceso_o2_combustion_pct,palanca,0.6323494192312298,1.1624348093855014e-79,0.027777777777777776,-14.189854185897381,49.17302141431203,-1.8387157097545719,1.8337635275996123,1193,252,(ninguna),0.1594328151041542,0.17786682154766753,,
v5_sdi_w10,Reducción,tasa_aire_nm3_min,palanca,0.3839385252428731,5.6507678084841e-28,0.06349206349206349,73.07891608454784,129.6805833870875,118.5445940657873,121.63559935118695,1196,252,(ninguna),0.1594328151041542,0.17786682154766753,,
