target,variable,fuente,x,pd,ale
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.6765011092026003,-0.025191023879344247,
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.03119300679496737,,-0.028644683076820172
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.05979910019197837,,-0.021140649439966828
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.07346248607914727,,-0.010221377297806936
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.08691666357768324,,-0.0063432625047999715
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.10417603492353325,,-0.008301866549103393
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.1207108227810938,,-0.010723346881107227
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.13207604398055356,,-0.009426130647103653
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.14156388143036863,,0.003076757405449132
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.15071235674589945,,0.013917122130300295
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.15912632175566996,,0.01346290871255363
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.16760655494159254,,0.01293564606560043
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.17629341143433025,,0.012497289742695837
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.18772041755607724,,0.012497289742695837
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.20149025342140275,,0.011957903784898846
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.21417347982747936,,0.012256484656158043
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.22929567868309686,,0.0133836673304071
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.25021446659398167,,0.014465886524592311
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.276073866925741,,0.01477463538420503
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.30444834665699727,,0.014290380894825414
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.3376187105376164,,0.008373929246683919
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.3788636598648216,,0.0024574775985424166
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.4259826383038182,,-0.0008086373578539661
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.4815155782262127,,-0.012221258788183843
v5_ln_sn_dep,v5_dosis_C_sn,ale,0.5613028596897793,,-0.023956154659576394
v5_ln_sn_dep,v5_dosis_C_sn,ale,1.291717707134094,,-0.02754454405703545
v5_ln_sn_dep,v5_exceso_C_pos,pd,0.0,-0.0006219087574401114,
v5_ln_sn_dep,v5_exceso_C_pos,pd,32.6308772716904,-0.0006219087574401114,
v5_ln_sn_dep,v5_exceso_C_pos,pd,65.2617545433808,-0.0009355995395905591,
v5_ln_sn_dep,v5_exceso_C_pos,pd,97.89263181507121,0.0034991403583545144,
v5_ln_sn_dep,v5_exceso_C_pos,pd,130.5235090867616,0.004567056460252579,
