index,estado,parametrizacion,grupo,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,theta_1sd_rel,ancho_ic_1sd_rel
3,FULL,P1_primitivas,FeO,v5_ln_feo_ret,tasa_aire_nm3_min,0.00013507190144966454,-0.0005926278186645116,0.0006992328786863152,10.15017572113512,0.0013710035347019407,-0.006015276496677793,0.007097336588661255,False,1.0,True,0.012576669722775416,0.12028634485811504
0,FULL,P2_cinetica_v4,FeO,v5_ln_feo_ret,tasa_feed_Carbon_kg_min,0.00038301826573481945,-0.0039503730044875215,0.0034534300837185733,22.100435970604593,0.008464870657444393,-0.08730496564568137,0.07632231044418199,False,-1.0,False,0.07762175777574415,1.5004407396328394
1,FULL,P2_cinetica_v4,FeO,v5_ln_feo_ret,Cx_av_v4,-0.00013360413935088928,-0.004173580502948042,0.005692280461963638,17.275529018818933,-0.0023080821863906164,-0.07210081109105582,0.09833715630390888,False,-1.0,True,-0.02116481203891322,1.5628938889086663
2,FULL,P2_cinetica_v4,FeO,v5_ln_feo_ret,tasa_gn_nm3_min,-0.004297256092935976,-0.006512063563974235,-0.001048255808162726,4.953750794405029,-0.02128753578414344,-0.032259140053253414,-0.0051927980424257905,True,-1.0,True,-0.19520392137664774,0.24819481932570933
3,FULL,P2_cinetica_v4,FeO,v5_ln_feo_ret,exceso_o2_combustion_pct,7.26448398139664e-05,-0.0006326742630311437,0.0007113382167244107,10.775541433926714,0.000782787481376364,-0.006817407735471137,0.007665054427849428,False,1.0,True,0.0071780589129078615,0.1328022855315593
4,FULL,P2_cinetica_v4,FeO,v5_ln_feo_ret,tasa_aire_nm3_min,0.0001995603965986148,-0.0004253949105677111,0.0010007246836856224,9.443953451940853,0.001884639096328174,-0.004017409734094006,0.009450797330935252,False,1.0,True,0.01728189423676895,0.12350169881873763
0,FULL,P3_dosis_sobrante,FeO,v5_ln_feo_ret,v5_exceso_C_pos,1.1093614003448476e-05,-4.596757256799785e-05,9.459669369183917e-05,222.7355417241346,0.002470942124736542,-0.01023861217767647,0.021070045814763825,False,-1.0,False,0.02265821639170656,0.28709630250942564
1,FULL,P3_dosis_sobrante,FeO,v5_ln_feo_ret,v5_C_x_avance,-5.693692437783149e-06,-8.141549543901366e-05,4.918919646400778e-05,553.369546437936,-0.0031507160018531674,-0.04505285578410684,0.027219803336934512,False,-1.0,True,-0.028891654014928953,0.6627308398585828
2,FULL,P3_dosis_sobrante,FeO,v5_ln_feo_ret,tasa_gn_nm3_min,-0.004193290424177989,-0.006417939680175923,-0.0008808849476690896,4.953750794405029,-0.020772515769942716,-0.031792873789115036,-0.0043636845092951855,True,-1.0,True,-0.1904812551470354,0.2515220813670419
3,FULL,P3_dosis_sobrante,FeO,v5_ln_feo_ret,exceso_o2_combustion_pct,8.06426977748288e-05,-0.0006114974317626098,0.0007497614091210297,10.775541433926714,0.0008689687312162973,-0.006589215912697776,0.008079085129542935,False,1.0,True,0.007968329712143655,0.13450640376662876
4,FULL,P3_dosis_sobrante,FeO,v5_ln_feo_ret,tasa_aire_nm3_min,0.0002540945480984424,-0.0003649785028722148,0.001033505712628923,9.443953451940853,0.0023996570846336364,-0.0034468399920842578,0.009760379842382509,False,1.0,True,0.02200454188918646,0.12110848001917239
0,FULL,P4_log_dosis,FeO,v5_ln_feo_ret,v5_ln_dosis_C,-0.0016008477690938599,-0.019457919600193774,0.01933998042886414,0.6924261490501757,-0.0011084688559692263,-0.01347317233729011,0.013391508171064161,False,0.0,,-0.010164514559278099,0.2463456097002896
1,FULL,P4_log_dosis,FeO,v5_ln_feo_ret,v5_exceso_C_pos,9.196589902803832e-06,-3.5160783649466955e-05,6.618646056273913e-05,222.7355417241346,0.002048407434015718,-0.007831556193609117,0.014742077148244772,False,-1.0,False,0.018783628492819195,0.20699726791913534
2,FULL,P4_log_dosis,FeO,v5_ln_feo_ret,tasa_gn_nm3_min,-0.004208449181696928,-0.006560986183932991,-0.0008457102514784508,4.953750794405029,-0.020847608477044352,-0.032501490520738474,-0.004189437830097852,True,-1.0,True,-0.19116984545836427,0.2596178234754614
3,FULL,P4_log_dosis,FeO,v5_ln_feo_ret,exceso_o2_combustion_pct,8.238659899326353e-05,-0.0006203643293912202,0.0007505553902638469,10.775541433926714,0.000887760211052216,-0.006684761535485253,0.008087640706245118,False,1.0,True,0.008140645126648974,0.13546099816245033
4,FULL,P4_log_dosis,FeO,v5_ln_feo_ret,tasa_aire_nm3_min,0.00025605035679151237,-0.0003580274029950777,0.0009902427190131458,9.443953451940853,0.0024181276508918902,-0.003381194128404783,0.009351806144483495,False,1.0,True,0.022173914568120207,0.11675994860847769
0,FULL,P5_minima,FeO,v5_ln_feo_ret,v5_exceso_C_pos,7.187140583312825e-06,-3.9824274224280135e-05,8.008160827753001e-05,222.7355417241346,0.0016008316512716948,-0.008870281293115526,0.017837020401835588,False,-1.0,False,0.014679417052341687,0.2449024665469715
1,FULL,P5_minima,FeO,v5_ln_feo_ret,tasa_gn_nm3_min,-0.0036994117769115226,-0.006474883948853785,-0.0010094916742945206,4.953750794405029,-0.018325964028706777,-0.03207496150531481,-0.005000770183481744,True,-1.0,True,-0.16804669538479858,0.24826679648191488
2,FULL,P5_minima,FeO,v5_ln_feo_ret,exceso_o2_combustion_pct,0.00014267540735135326,-0.0004768886791355399,0.0007293910064675281,10.775541433926714,0.001537404763516879,-0.005138733721395592,0.007859583011724357,False,1.0,True,0.0140978007799839,0.11919286587838411
