variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,escenario,fraccion_fe_dross,periodo
gn_2,0.0349396699337427,0.01740041881479521,0.00015672833851537032,0.06972261152897002,0.049007794258986416,242,63,12,ysn,delta02,0.3,LB
gn_3,0.055286221002938195,0.022032306438244772,0.011244267978335762,0.09932817402754063,0.014723029116938187,242,63,12,ysn,delta02,0.3,LB
gn_0,0.04446535717612398,0.018421073175514568,0.008212988646961572,0.08071772570528639,0.016390656439888157,1084,298,12,ysn,delta02,0.5,DEV
gn_1,0.016100695419615684,0.010858418240418673,-0.0052684927891728656,0.037469883628404234,0.13919195742461024,1084,298,12,ysn,delta02,0.5,DEV
gn_2,0.030776272971970768,0.011310664379052135,0.008517071812936556,0.053035474131004984,0.006892524354524235,1084,298,12,ysn,delta02,0.5,DEV
gn_3,0.03405465567207855,0.01533563396931227,0.003874380669272131,0.06423493067488496,0.027130918526475197,1084,298,12,ysn,delta02,0.5,DEV
gn_0,0.11337132619736227,0.03291003265282808,0.047585108299720486,0.17915754409500406,0.001030225685416083,242,63,12,ysn,delta02,0.5,LB
gn_1,0.03806017086516292,0.01659596510359632,0.004885309325393966,0.07123503240493187,0.02523157752855843,242,63,12,ysn,delta02,0.5,LB
gn_2,0.0349396699337427,0.01740041881479521,0.00015672833851537032,0.06972261152897002,0.049007794258986416,242,63,12,ysn,delta02,0.5,LB
gn_3,0.055286221002938195,0.022032306438244772,0.011244267978335762,0.09932817402754063,0.014723029116938187,242,63,12,ysn,delta02,0.5,LB
gn_0,0.04446535717612398,0.018421073175514568,0.008212988646961572,0.08071772570528639,0.016390656439888157,1084,298,12,ysn,delta02,0.6,DEV
gn_1,0.016100695419615684,0.010858418240418673,-0.0052684927891728656,0.037469883628404234,0.13919195742461024,1084,298,12,ysn,delta02,0.6,DEV
gn_2,0.030776272971970768,0.011310664379052135,0.008517071812936556,0.053035474131004984,0.006892524354524235,1084,298,12,ysn,delta02,0.6,DEV
gn_3,0.03405465567207855,0.01533563396931227,0.003874380669272131,0.06423493067488496,0.027130918526475197,1084,298,12,ysn,delta02,0.6,DEV
gn_0,0.11337132619736227,0.03291003265282808,0.047585108299720486,0.17915754409500406,0.001030225685416083,242,63,12,ysn,delta02,0.6,LB
gn_1,0.03806017086516292,0.01659596510359632,0.004885309325393966,0.07123503240493187,0.02523157752855843,242,63,12,ysn,delta02,0.6,LB
gn_2,0.0349396699337427,0.01740041881479521,0.00015672833851537032,0.06972261152897002,0.049007794258986416,242,63,12,ysn,delta02,0.6,LB
gn_3,0.055286221002938195,0.022032306438244772,0.011244267978335762,0.09932817402754063,0.014723029116938187,242,63,12,ysn,delta02,0.6,LB
gn_0,-0.002699866600579191,0.002700622658139495,-0.008014647500055441,0.00261491429889706,0.31825981178006785,1084,298,12,yfe,base,0.3,DEV
gn_1,-0.0032766185787454797,0.0016588790584235332,-0.0065412652363146025,-1.1971921176356926e-05,0.0491711242413648,1084,298,12,yfe,base,0.3,DEV
gn_2,-0.004113162082880064,0.0017407650847989843,-0.007538959091314597,-0.000687365074445531,0.018779519248368338,1084,298,12,yfe,base,0.3,DEV
gn_3,-0.007433779321612235,0.0026358780225908215,-0.012621143844972208,-0.0022464147982522607,0.0051219185406567724,1084,298,12,yfe,base,0.3,DEV
gn_0,-0.017324845354988225,0.007284481319632274,-0.03188631602929486,-0.002763374680681588,0.02048684084403814,242,63,12,yfe,base,0.3,LB
gn_1,-0.0031759268951550667,0.002455844817950223,-0.008085090736491586,0.001733236946181453,0.20073575859333592,242,63,12,yfe,base,0.3,LB
gn_2,-0.006476143071797251,0.001942050820391124,-0.010358247346390414,-0.0025940387972040874,0.001445267707169295,242,63,12,yfe,base,0.3,LB
gn_3,-0.0021759918186523165,0.003988144667398559,-0.010148179414590595,0.005796195777285962,0.5872883165122494,242,63,12,yfe,base,0.3,LB
