Batch,orden_escalon_fase,pos,y,pred,modelo,target,train_end
AP0113,0,112,1.3522705702350653,1.4454848231542332,conjunto_lineal,m6_ln_sn_dep,99
AP0113,1,112,0.42413728407287365,0.5808873111010723,conjunto_lineal,m6_ln_sn_dep,99
AP0113,2,112,0.4705014329869836,0.5021722693227653,conjunto_lineal,m6_ln_sn_dep,99
AP0113,3,112,0.48738793507992373,0.4107704830684597,conjunto_lineal,m6_ln_sn_dep,99
AP0114,0,113,1.5949686584675706,1.7041471138688156,conjunto_lineal,m6_ln_sn_dep,99
AP0114,1,113,0.5315498937215366,0.6547097910665178,conjunto_lineal,m6_ln_sn_dep,99
AP0114,2,113,0.5112264845369012,0.45400964472452143,conjunto_lineal,m6_ln_sn_dep,99
AP0114,3,113,0.3096945272852654,0.3177412090250997,conjunto_lineal,m6_ln_sn_dep,99
AP0115,0,114,1.9831597378793921,1.6456512486193433,conjunto_lineal,m6_ln_sn_dep,99
AP0115,1,114,0.0919376976064999,0.5119969153528401,conjunto_lineal,m6_ln_sn_dep,99
AP0115,2,114,0.8415481674149644,0.4479664349792251,conjunto_lineal,m6_ln_sn_dep,99
AP0116,0,115,1.2942424888807251,1.3141324664496825,conjunto_lineal,m6_ln_sn_dep,99
AP0116,1,115,0.6533346080244727,0.557257850386581,conjunto_lineal,m6_ln_sn_dep,99
AP0116,2,115,0.17590409895480952,0.3177746744835449,conjunto_lineal,m6_ln_sn_dep,99
AP0116,3,115,0.32403446171019307,0.2763678372535918,conjunto_lineal,m6_ln_sn_dep,99
AP0117,0,116,1.1724925527175518,1.2483361046378334,conjunto_lineal,m6_ln_sn_dep,99
AP0117,1,116,0.4227527327573284,0.49919951599531576,conjunto_lineal,m6_ln_sn_dep,99
AP0117,2,116,0.34319918545466765,0.43437838095162334,conjunto_lineal,m6_ln_sn_dep,99
AP0117,3,116,0.49233595628688565,0.37479203529519484,conjunto_lineal,m6_ln_sn_dep,99
AP0118,0,117,1.8545489158730026,1.5556693691382018,conjunto_lineal,m6_ln_sn_dep,99
AP0118,1,117,0.5494620071928313,0.4937120678800824,conjunto_lineal,m6_ln_sn_dep,99
AP0118,2,117,-0.10093240086507327,0.4094039174522038,conjunto_lineal,m6_ln_sn_dep,99
AP0118,3,117,0.35929850203806446,0.35912017360400567,conjunto_lineal,m6_ln_sn_dep,99
AP0119,0,118,2.1607226809439455,1.6415773785858752,conjunto_lineal,m6_ln_sn_dep,99
AP0119,1,118,0.5828573661636198,0.5023807903617132,conjunto_lineal,m6_ln_sn_dep,99
AP0119,2,118,0.5612472224277814,0.3306152257956086,conjunto_lineal,m6_ln_sn_dep,99
AP0120,0,119,1.8504495030651607,1.5657383325796053,conjunto_lineal,m6_ln_sn_dep,99
AP0120,1,119,0.6618022242618078,0.5168257134769234,conjunto_lineal,m6_ln_sn_dep,99
AP0120,2,119,0.7724824624846285,0.397413800511052,conjunto_lineal,m6_ln_sn_dep,99
AP0101,0,100,2.0136043058871227,1.6058069990553079,conjunto_interacciones,m6_ln_sn_dep,99
AP0101,1,100,0.17491778831373844,0.5288619831680617,conjunto_interacciones,m6_ln_sn_dep,99
AP0101,2,100,0.23730192475964507,0.4398578632935045,conjunto_interacciones,m6_ln_sn_dep,99
AP0101,3,100,0.4784284106729349,0.3620855929262748,conjunto_interacciones,m6_ln_sn_dep,99
AP0102,0,101,1.711209127262046,1.9119633952137105,conjunto_interacciones,m6_ln_sn_dep,99
AP0102,1,101,0.8707430974355465,0.6940533431042107,conjunto_interacciones,m6_ln_sn_dep,99
