Batch,pos,score,modelo,train_end
AP0222,221,517.6601214824948,conjunto,219
AP0223,222,775.8040327208182,conjunto,219
AP0224,223,992.8972778891716,conjunto,219
AP0225,224,470.8266038107803,conjunto,219
AP0226,225,1529.6553004380253,conjunto,219
AP0227,226,289.61769011418676,conjunto,219
AP0228,227,183.90422273306206,conjunto,219
AP0229,228,487.7542382925261,conjunto,219
AP0230,229,840.6156091500278,conjunto,219
AP0231,230,547.1184624138259,conjunto,219
AP0232,231,-765.689375823552,conjunto,219
AP0233,232,255.85384759467573,conjunto,219
AP0234,233,55.900120267856636,conjunto,219
AP0235,234,-274.244470654677,conjunto,219
AP0236,235,233.5049540920816,conjunto,219
AP0237,236,-217.22024262266115,conjunto,219
AP0238,237,75.04157085035585,conjunto,219
AP0239,238,107.57479802758922,conjunto,219
AP0240,239,620.4697813558623,conjunto,219
AP0221,220,589.3630460328072,acoplado,219
AP0222,221,81.05613282947866,acoplado,219
AP0223,222,411.5354831110649,acoplado,219
AP0224,223,1156.9193198495332,acoplado,219
AP0225,224,368.2091495356047,acoplado,219
AP0226,225,1977.8438356384945,acoplado,219
AP0227,226,192.16003628552227,acoplado,219
AP0228,227,112.95648180293568,acoplado,219
AP0229,228,-177.07243823968378,acoplado,219
AP0230,229,647.9652405253551,acoplado,219
AP0231,230,594.7748799697013,acoplado,219
AP0232,231,-753.4002310272793,acoplado,219
AP0233,232,46.57410587216055,acoplado,219
AP0234,233,-111.39726015734844,acoplado,219
AP0235,234,-311.0109530377954,acoplado,219
AP0236,235,-17.487469111983973,acoplado,219
AP0237,236,-314.16417444132804,acoplado,219
AP0238,237,-90.364991820516,acoplado,219
AP0239,238,16.14307318165543,acoplado,219
AP0240,239,433.13460236011133,acoplado,219
AP0241,240,255.19493013689916,v11_gn,239
AP0242,241,383.5031507178844,v11_gn,239
AP0243,242,219.74332395874916,v11_gn,239
AP0244,243,217.73809808042495,v11_gn,239
AP0245,244,193.40369219723908,v11_gn,239
AP0246,245,253.7874130661964,v11_gn,239
AP0247,246,47.97695687753293,v11_gn,239
AP0248,247,579.813338500155,v11_gn,239
AP0249,248,-210.74207957949534,v11_gn,239
AP0250,249,-536.3122356035688,v11_gn,239
AP0251,250,91.45278253879708,v11_gn,239
AP0252,251,-956.6512479177302,v11_gn,239
AP0253,252,9.39864316950662,v11_gn,239
AP0254,253,105.07735076548234,v11_gn,239
AP0255,254,-752.7173526052142,v11_gn,239
AP0256,255,-71.14664806516882,v11_gn,239
AP0257,256,-6.5945717687654835,v11_gn,239
AP0258,257,-486.3967281516698,v11_gn,239
AP0259,258,-961.8832095468038,v11_gn,239
AP0260,259,151.71086091722583,v11_gn,239
AP0241,240,185.3667537747552,conjunto,239
AP0242,241,369.1292936482806,conjunto,239
AP0243,242,167.3949359126559,conjunto,239
AP0244,243,208.21930302142573,conjunto,239
AP0245,244,175.20693991175088,conjunto,239
AP0246,245,178.2199885095411,conjunto,239
AP0247,246,-22.327815043266,conjunto,239
AP0248,247,666.1692329372304,conjunto,239
AP0249,248,-361.95030187654766,conjunto,239
AP0250,249,-858.9259747979895,conjunto,239
AP0251,250,25.609797999449263,conjunto,239
AP0252,251,-1139.6870128974376,conjunto,239
AP0253,252,366.5485013244834,conjunto,239
AP0254,253,100.9702197318922,conjunto,239
AP0255,254,-701.2074338079597,conjunto,239
AP0256,255,-189.57270547681767,conjunto,239
AP0257,256,-61.836990928442944,conjunto,239
AP0258,257,-683.475743721218,conjunto,239
AP0259,258,-1151.0992495899238,conjunto,239
AP0260,259,464.75716875075307,conjunto,239
AP0241,240,101.74311552977181,acoplado,239
AP0242,241,296.88344136626756,acoplado,239
AP0243,242,-127.52432512010733,acoplado,239
AP0244,243,160.55219978575616,acoplado,239
AP0245,244,54.8851625988726,acoplado,239
AP0246,245,-256.3785692738867,acoplado,239
AP0247,246,-145.28655158954797,acoplado,239
AP0248,247,614.8061733519011,acoplado,239
AP0249,248,-583.8139053494235,acoplado,239
AP0250,249,-1103.150577131064,acoplado,239
AP0251,250,-34.729162329710626,acoplado,239
AP0252,251,-1552.5374306885292,acoplado,239
AP0253,252,220.72655365818952,acoplado,239
AP0254,253,5.0874265449060765,acoplado,239
AP0255,254,-802.8607267856503,acoplado,239
AP0256,255,-355.93963291147327,acoplado,239
AP0257,256,-251.0926867202893,acoplado,239
AP0258,257,-915.7004306200458,acoplado,239
AP0259,258,-1461.7555984541027,acoplado,239
AP0260,259,328.2727850230166,acoplado,239
AP0261,260,,v11_gn,259
AP0262,261,-280.20500926989394,v11_gn,259
AP0263,262,45.20150016879043,v11_gn,259
AP0264,263,386.68670808213386,v11_gn,259
AP0265,264,527.8238951537959,v11_gn,259
AP0266,265,131.17183338107472,v11_gn,259
AP0267,266,223.13576475479658,v11_gn,259
AP0268,267,-122.71164116254246,v11_gn,259
AP0269,268,-167.04777230176663,v11_gn,259
AP0270,269,-244.45334973268007,v11_gn,259
AP0271,270,-400.1355854962083,v11_gn,259
AP0272,271,-307.55791741533386,v11_gn,259
AP0273,272,,v11_gn,259
AP0274,273,82.53700526348013,v11_gn,259
AP0275,274,-257.2746796985259,v11_gn,259
AP0276,275,-299.2886941831068,v11_gn,259
AP0277,276,325.95033741900176,v11_gn,259
AP0278,277,-13.153273362636241,v11_gn,259
AP0279,278,109.70991505026065,v11_gn,259
AP0280,279,207.96223848929606,v11_gn,259
AP0261,260,,conjunto,259
AP0262,261,-472.0278854908258,conjunto,259
AP0263,262,289.3150768138928,conjunto,259
AP0264,263,442.4922587077639,conjunto,259
AP0265,264,891.6841596373705,conjunto,259
AP0266,265,35.903394135101415,conjunto,259
AP0267,266,149.9757761726409,conjunto,259
AP0268,267,-211.735218862275,conjunto,259
AP0269,268,-445.8949692658764,conjunto,259
AP0270,269,-130.95039433262838,conjunto,259
AP0271,270,-620.4889733651257,conjunto,259
AP0272,271,-786.8999343010942,conjunto,259
AP0273,272,,conjunto,259
AP0274,273,-66.33984103938981,conjunto,259
AP0275,274,-565.9715488585202,conjunto,259
AP0276,275,-407.5059646111134,conjunto,259
AP0277,276,310.41740453327816,conjunto,259
AP0278,277,1966.8294584503283,conjunto,259
AP0279,278,58.243756791219894,conjunto,259
AP0280,279,118.72538147417339,conjunto,259
AP0261,260,,acoplado,259
AP0262,261,-670.0273910359731,acoplado,259
AP0263,262,198.3424636697559,acoplado,259
AP0264,263,340.67830926441127,acoplado,259
AP0265,264,694.7448123124136,acoplado,259
AP0266,265,-291.3626254149003,acoplado,259
AP0267,266,-9.270755829060711,acoplado,259
AP0268,267,-456.5311714971863,acoplado,259
AP0269,268,-678.1292269055773,acoplado,259
AP0270,269,-146.44918185421926,acoplado,259
AP0271,270,-717.4204902117177,acoplado,259
AP0272,271,-954.08369554778,acoplado,259
AP0273,272,,acoplado,259
AP0274,273,-186.7950288117732,acoplado,259
AP0275,274,-720.246684429062,acoplado,259
AP0276,275,-460.9995372068393,acoplado,259
AP0277,276,178.5418092728638,acoplado,259
AP0278,277,2283.9319695952404,acoplado,259
