variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,periodo,modelo,q_bh
gn_3,-0.0021763279475185953,0.0031575781938182807,-0.00848823681976704,0.00413558092472985,0.4932439817109633,242,63,10,m8_ln_feo_ret_dross50,LB,v11_estructura,0.6389040412430412
d_carbon,0.00037258555607688775,0.0007298339694740673,-0.0010863317610651812,0.0018315028732189568,0.6115090054467885,242,63,10,m8_ln_feo_ret_dross50,LB,v11_estructura,0.761501780367699
gn_0,-0.01847679527354461,0.0075789013655888455,-0.03362680323376209,-0.003326787313327131,0.017652052186326823,242,63,12,m8_ln_feo_ret_dross50,LB,conjunto,0.11650354442975704
gn_1,-0.00286756418461874,0.002510563851306251,-0.00788610981507356,0.0021509814458360787,0.25776314525955385,242,63,12,m8_ln_feo_ret_dross50,LB,conjunto,0.43327323859331934
gn_2,-0.0061835202059315406,0.0019827636113118113,-0.010147008189954093,-0.002220032221908989,0.0027553136425598006,242,63,12,m8_ln_feo_ret_dross50,LB,conjunto,0.03741538035671328
gn_3,-0.0018464224110456217,0.004044615706536001,-0.009931494005756923,0.0062386491836656805,0.6496159284948801,242,63,12,m8_ln_feo_ret_dross50,LB,conjunto,0.7656187728689658
d_carbon,0.0006495159798762216,0.0007396189770421827,-0.000828961288688466,0.0021279932484409092,0.38323854456875184,242,63,12,m8_ln_feo_ret_dross50,LB,conjunto,0.539905448204159
d_exceso,-0.0014310846342530429,0.001633888975891775,-0.004697182159055538,0.0018350128905494523,0.384478122205992,242,63,12,m8_ln_feo_ret_dross50,LB,conjunto,0.539905448204159
d_aire,-0.0007381471217684858,0.0004916437932562575,-0.0017209290610139916,0.0002446348174770201,0.13833177973284047,242,63,12,m8_ln_feo_ret_dross50,LB,conjunto,0.2951680112940895
gn_0,-0.016602886723503452,0.007306412970921459,-0.031208198144058678,-0.001997575302948227,0.026542676781823718,242,63,15,m8_ln_feo_ret_dross50,LB,acoplado,0.1230020615505252
gn_1,-0.004993722544895579,0.0034765742668234462,-0.01194329548112685,0.0019558503913356916,0.15591784009773818,242,63,15,m8_ln_feo_ret_dross50,LB,acoplado,0.31183568019547636
gn_2,-0.00724400737379262,0.0026294503362160764,-0.012500203701342399,-0.001987811046242842,0.007695529802295156,242,63,15,m8_ln_feo_ret_dross50,LB,acoplado,0.07255785242164003
gn_3,-0.0023157841984293255,0.0040115927512420265,-0.010334843846099704,0.005703275449241054,0.5658454702783943,242,63,15,m8_ln_feo_ret_dross50,LB,acoplado,0.7181884815071927
d_carbon,0.0023997971747318,0.0010657760403573868,0.0002693412265207672,0.004530253122942833,0.027894639713004203,242,63,15,m8_ln_feo_ret_dross50,LB,acoplado,0.1230020615505252
d_exceso,-0.0028619669795322514,0.002311701536803063,-0.007482992507483863,0.0017590585484193607,0.22037077273665215,242,63,15,m8_ln_feo_ret_dross50,LB,acoplado,0.3827492368583958
d_aire,-0.0009199086832968641,0.0004263608625510246,-0.0017721919035141457,-6.762546307958247e-05,0.034843074557925305,242,63,15,m8_ln_feo_ret_dross50,LB,acoplado,0.1437276825514419
C_x_exceso,-0.0003235137730063567,0.0002901473644819611,-0.0009035100903480992,0.00025648254433538573,0.2691545876110014,242,63,15,m8_ln_feo_ret_dross50,LB,acoplado,0.43327323859331934
C_x_GN,-0.00017570055213735565,0.00013370603650538155,-0.0004429751107670385,9.157400649232724e-05,0.1936602299714513,242,63,15,m8_ln_feo_ret_dross50,LB,acoplado,0.3669961862237184
C_x_Sn,-0.00043330248909479976,0.00021224539900348554,-0.000857574996324152,-9.029981865447479e-06,0.04546082536749006,242,63,15,m8_ln_feo_ret_dross50,LB,acoplado,0.16668969301413025
