xcols,controles,paso,start,n,pendiente,t,p_perm
dG_R23,sin_idx,10,120,240,0.7558700625583125,1.8987794391529584,0.023255813953488372
dG_R23,sin_idx,10,150,210,0.6229713706968871,1.5461564720266605,0.0664451827242525
dG_R23,sin_idx,20,100,260,0.6359708598820114,1.683645479263938,0.023255813953488372
dG_R23,sin_idx,20,120,240,0.6519878021887731,1.650376406915846,0.03322259136212625
dG_R23,sin_idx,20,150,210,0.7473698767890794,2.008088299861516,0.023255813953488372
dG_R23,espesor_en_vez_idx,5,100,260,0.7799874574685196,2.094375608458903,0.006644518272425249
dG_R23,espesor_en_vez_idx,5,120,240,0.7952461058720024,2.079297518338994,0.006644518272425249
dG_R23,espesor_en_vez_idx,5,150,210,0.6612361473331856,1.697756988534904,0.023255813953488372
dG_R23,espesor_en_vez_idx,10,100,260,0.824560130628269,2.0915202250336815,0.009966777408637873
dG_R23,espesor_en_vez_idx,10,120,240,0.8338177374617816,2.049314150364133,0.009966777408637873
dG_R23,espesor_en_vez_idx,10,150,210,0.7121718570000247,1.719003897315648,0.023255813953488372
dG_R23,espesor_en_vez_idx,20,100,260,0.7417135702961455,1.89055300117889,0.009966777408637873
dG_R23,espesor_en_vez_idx,20,120,240,0.7512494264541174,1.849427379118797,0.019933554817275746
dG_R23,espesor_en_vez_idx,20,150,210,0.7741328014206177,2.0283928139314744,0.006644518272425249
dG+dC+dO2+dAire,full(+idx),5,100,261,0.8301471806385681,3.2849843697380128,0.0033222591362126247
dG+dC+dO2+dAire,full(+idx),5,120,241,0.8381255658685727,3.2362386981968556,0.0033222591362126247
dG+dC+dO2+dAire,full(+idx),5,150,211,0.7682366398247129,2.8263323410531176,0.006644518272425249
dG+dC+dO2+dAire,full(+idx),10,100,261,0.753637556609662,3.24481218880973,0.0033222591362126247
dG+dC+dO2+dAire,full(+idx),10,120,241,0.7581567673281859,3.191673968511808,0.0033222591362126247
dG+dC+dO2+dAire,full(+idx),10,150,211,0.7227017710350154,2.938429823049805,0.0033222591362126247
dG+dC+dO2+dAire,full(+idx),20,100,261,0.6740744037158106,2.884649501777418,0.006644518272425249
dG+dC+dO2+dAire,full(+idx),20,120,241,0.7012841161520788,2.9772722733266903,0.006644518272425249
dG+dC+dO2+dAire,full(+idx),20,150,211,0.7807276810201325,2.973028851165556,0.0033222591362126247
dG+dC+dO2+dAire,sin_idx,5,100,261,0.7860028212911323,2.814779161733437,0.006644518272425249
dG+dC+dO2+dAire,sin_idx,5,120,241,0.7716169316881014,2.687392952899127,0.006644518272425249
dG+dC+dO2+dAire,sin_idx,5,150,211,0.6341824636048713,2.080184759221705,0.013289036544850499
dG+dC+dO2+dAire,sin_idx,10,100,261,0.725306153428667,2.7599401742697034,0.0033222591362126247
dG+dC+dO2+dAire,sin_idx,10,120,241,0.7242581208057227,2.6935662059829326,0.0033222591362126247
dG+dC+dO2+dAire,sin_idx,10,150,211,0.6314091519471764,2.2503191415111736,0.009966777408637873
dG+dC+dO2+dAire,sin_idx,20,100,261,0.6981281987080932,2.76307138417395,0.006644518272425249
dG+dC+dO2+dAire,sin_idx,20,120,241,0.7157403659899979,2.8214618094623196,0.006644518272425249
