Batch,orden_escalon_fase,inicio_bloque,receta__gn,hist__gn,rec__gn,z_hist__gn,z_rec__gn,dev_hist__gn,dev_rec__gn,beta__gn,t__gn,motivo__gn,valor_hist_pp__gn,valor_rec_pp__gn,receta__carbon,hist__carbon,rec__carbon,z_hist__carbon,z_rec__carbon,dev_hist__carbon,dev_rec__carbon,beta__carbon,t__carbon,motivo__carbon,valor_hist_pp__carbon,valor_rec_pp__carbon
AP0151,3,150,16.666666666666668,16.735947775975458,16.666666666666668,0.038805099319166404,0.0,0.06928110930878972,0.0,-2.648434329971797,-3.85338691087239,ejecutar la receta: horno frio,-0.10277275721484551,-0.0,13.333333333333334,5.0070396654533615,13.333333333333334,-1.9166193269209257,0.0,-8.326293667879973,0.0,-0.0,-0.5374004186507493,ejecutar la receta,0.0,-0.0
AP0152,0,150,26.666666666666668,28.21926648175275,26.666666666666668,0.5466639202525032,0.0,1.552599815086083,0.0,-2.648434329971797,-3.85338691087239,ejecutar la receta: horno frio,-1.4478034933536943,-0.0,60.0,61.57840635238155,60.0,0.18137936869539875,0.0,1.578406352381549,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
AP0152,1,150,24.166666666666668,23.607868720160592,24.166666666666668,-0.2100343050122164,0.0,-0.5587979465060755,0.0,-2.648434329971797,-3.85338691087239,ejecutar la receta: horno frio,0.5562620638661213,-0.0,18.333333333333332,27.1711422651242,18.333333333333332,1.3541237070817957,0.0,8.837808931790867,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
AP0152,2,150,17.5,17.774146185980904,17.5,0.10213338721456254,0.0,0.27414618598090357,0.0,-2.648434329971797,-3.85338691087239,ejecutar la receta: horno frio,-0.27049356893535004,-0.0,16.666666666666668,14.050866723439052,16.666666666666668,-0.40243350282784196,0.0,-2.615799943227616,0.0,-0.0,-0.5374004186507493,ejecutar la receta,0.0,-0.0
AP0152,3,150,15.0,14.768960879547427,15.0,-0.12940751245502213,0.0,-0.23103912045257324,0.0,-2.648434329971797,-3.85338691087239,ejecutar la receta: horno frio,0.34272729854213346,-0.0,13.333333333333334,5.066592089335123,13.333333333333334,-1.9029110275106993,0.0,-8.266741243998212,0.0,-0.0,-0.5374004186507493,ejecutar la receta,0.0,-0.0
AP0153,0,150,26.666666666666668,25.365793174461082,23.826530785065152,-0.4580321317133746,-1.0000000000000007,-1.3008734922055858,-2.8401358816015154,-2.648434329971797,-3.85338691087239,recomendar,1.213068021859865,2.6484343299717987,60.0,62.67740202872983,60.0,0.30766823066954174,0.0,2.67740202872983,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
AP0153,1,150,24.166666666666668,21.458059419420028,21.50615867739523,-1.0180789752066766,-1.0000000000000002,-2.70860724724664,-2.660507989271437,-2.648434329971797,-3.85338691087239,recomendar,2.696315308559868,2.6484343299717974,18.333333333333332,25.32275766225962,18.333333333333332,1.0709153428977207,0.0,6.989424328926287,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
AP0153,2,150,17.5,19.899667358398435,15.733011182996961,0.8939980493419156,-0.6582931380389301,2.3996673583984354,-1.766988817003039,-2.648434329971797,-3.85338691087239,recomendar,-2.36769512480495,1.7434461459671653,16.666666666666668,10.689460052005828,16.666666666666668,-0.9195765147451105,0.0,-5.97720661466084,0.0,-0.0,-0.5374004186507493,ejecutar la receta,0.0,-0.0
AP0153,3,150,15.0,16.569146338568792,15.0,0.8788958508599264,0.0,1.5691463385687925,0.0,-2.648434329971797,-3.85338691087239,ejecutar la receta: horno frio,-2.3276979438872014,-0.0,13.333333333333334,7.005985144412878,13.333333333333334,-1.45648451889529,0.0,-6.327348188920456,0.0,-0.0,-0.5374004186507493,ejecutar la receta,0.0,-0.0
AP0154,0,150,26.666666666666668,26.661344807942704,23.826530785065152,-0.001873804263534912,-1.0000000000000007,-0.005321858723963402,-2.8401358816015154,-2.648434329971797,-3.85338691087239,recomendar,0.004962647539193381,2.6484343299717987,60.0,62.514867113995294,60.0,0.2889908601806119,0.0,2.514867113995294,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
AP0154,1,150,24.166666666666668,18.973250475565592,21.50615867739523,-1.9520393143127752,-1.0000000000000002,-5.193416191101075,-2.660507989271437,-2.648434329971797,-3.85338691087239,recomendar,5.169847933480561,2.6484343299717974,18.333333333333332,20.189402888371397,18.333333333333332,0.2843858478801155,0.0,1.856069555038065,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
AP0154,2,150,17.5,17.572946912977432,15.733011182996961,0.027176432466399735,-0.6582931380389301,0.07294691297743228,-1.766988817003039,-2.648434329971797,-3.85338691087239,recomendar,-0.07197499671017317,1.7434461459671653,16.666666666666668,16.757448129805304,16.666666666666668,0.0139664741171451,0.0,0.09078146313863655,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
AP0154,3,150,15.0,13.446686435275605,14.05568626799407,-0.8700277428336622,-0.5289203438648429,-1.5533135647243945,-0.9443137320059307,-2.648434329971797,-3.85338691087239,recomendar,2.304211342148545,1.4008107965121377,13.333333333333334,8.700032829515862,13.333333333333334,-1.066533760069756,0.0,-4.6333005038174715,0.0,-0.0,-0.5374004186507493,ejecutar la receta,0.0,-0.0
AP0155,0,150,26.666666666666668,27.45634729253957,23.826530785065152,0.27804325525003076,-1.0000000000000007,0.7896806258729008,-2.8401358816015154,-2.648434329971797,-3.85338691087239,recomendar,-0.7363793024212926,2.6484343299717987,60.0,62.07664243636592,60.0,0.23863315903779103,0.0,2.0766424363659226,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
AP0155,1,150,24.166666666666668,22.512622219509552,21.50615867739523,-0.6217024920906421,-1.0000000000000002,-1.6540444471571156,-2.660507989271437,-2.648434329971797,-3.85338691087239,recomendar,1.6465382230818761,2.6484343299717974,18.333333333333332,28.06364010541867,18.333333333333332,1.4908716831230866,0.0,9.730306772085338,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
