target,kpi,muestra,n,rho,p_rho,r,p_r,ci_low,ci_high,signo_esperado,signo_ok,p_bh,significativo_bh
st_F16_sn_ret_frac,rendimiento_proxy_batch,lockbox,63,0.17497119815668205,0.17019191873363934,0.1852432024423023,0.14608714406051368,-0.06201125223004533,0.4071511679493362,1,True,,
st_F16_sn_ret_frac,rendimiento_proxy_batch,total,361,0.09191038806670646,0.0811706111690148,0.05027572792806804,0.34082905354606363,-0.003743617666090439,0.19626370130595341,1,True,,
st_F16_sn_ret_frac,recuperacion_real_pct,dev,298,0.18464436060000694,0.0013665111110507404,0.145126611135598,0.012140416423871533,0.07435190894010399,0.2969872535677241,1,True,0.0034162777776268506,True
st_F16_sn_ret_frac,recuperacion_real_pct,lockbox,63,0.2707853302611367,0.03183060256442148,0.23124791694380942,0.06822445729554819,-0.01784957531180357,0.4960946229587531,1,True,,
st_F16_sn_ret_frac,recuperacion_real_pct,total,361,0.2114932941542574,5.1142210546740184e-05,0.1672051268074599,0.001430853215399685,0.1170613671456146,0.30596659353998723,1,True,,
st_F05_ley_feo_next,recuperacion_refinada_pct,dev,298,0.14423513812796424,0.012685927536887279,0.15269319463318134,0.00828288924959809,0.03438455851267466,0.2529972285567605,1,True,0.018122753624124684,True
st_F05_ley_feo_next,recuperacion_refinada_pct,lockbox,63,0.19465245775729648,0.12633117204484676,0.18430399403699016,0.14817903692542853,-0.05718945588975652,0.4114582517594153,1,True,,
st_F05_ley_feo_next,recuperacion_refinada_pct,total,361,0.14349403070571648,0.006312746045180283,0.14738033597248315,0.005018365772672924,0.04091098433283235,0.23856531629050465,1,True,,
st_F05_ley_feo_next,sn_perdido_escoria_frac,dev,298,-0.1187503230891067,0.04050251010812253,-0.1623605508629758,0.004959319774122735,-0.24260566308066317,0.0014016121407120217,-1,True,0.057860728725889335,False
st_F05_ley_feo_next,sn_perdido_escoria_frac,lockbox,63,-0.17041090629800307,0.18177834049572203,-0.041790240158155925,0.7450300221248592,-0.4032344823304582,0.07519886379590263,-1,True,,
st_F05_ley_feo_next,sn_perdido_escoria_frac,total,361,-0.12167681630666322,0.020753449106453777,-0.1334993508923158,0.011114896225549826,-0.21764188624968098,-0.01937002194585574,-1,True,,
st_F05_ley_feo_next,rendimiento_proxy_batch,dev,298,0.12069044481547726,0.037314954208583946,0.13381945781554502,0.020845234409389353,0.010927351450895217,0.2243357942352788,1,True,0.04664369276072993,True
st_F05_ley_feo_next,rendimiento_proxy_batch,lockbox,63,0.18284370199692782,0.15147573459643587,0.1843450924608053,0.14808703434744083,-0.0853041045649877,0.42104425339956686,1,True,,
st_F05_ley_feo_next,rendimiento_proxy_batch,total,361,0.12295562056919959,0.019442903180834543,0.1310577002070799,0.012694788464571291,0.028708971807574122,0.21410071153681,1,True,,
st_F05_ley_feo_next,recuperacion_real_pct,dev,298,0.1694846082618348,0.003338465910857568,0.1784982666353241,0.0019795265695928214,0.0570585076121733,0.2765210467569931,1,True,0.006676931821715136,True
st_F05_ley_feo_next,recuperacion_real_pct,lockbox,63,0.1245199692780338,0.3308783934471429,0.08716915710056622,0.4969328434871216,-0.1119703377133957,0.38841426716589994,1,True,,
st_F05_ley_feo_next,recuperacion_real_pct,total,361,0.15161922675258283,0.0038833435109235314,0.15717312551483806,0.002748356935835925,0.057607382003239414,0.2584760225621258,1,True,,
b6_sdi_multi_batch,recuperacion_refinada_pct,dev,299,0.2296353041156486,6.128171780574853e-05,0.2345822974357689,4.1922080805082e-05,0.12103642981899047,0.3345040096066822,1,True,0.00012256343561149705,True
b6_sdi_multi_batch,recuperacion_refinada_pct,lockbox,63,-0.057699692780337944,0.6533013199110264,-0.053967888922510567,0.6744230759952654,-0.27025717709993224,0.1791898848710238,1,False,,
b6_sdi_multi_batch,recuperacion_refinada_pct,total,362,0.1834423039821986,0.00045153925701565457,0.19504310958045334,0.00018843498330369123,0.08488005104644206,0.2796103219723974,1,True,,
