Batch,fase_proceso,c_consumido_kg,oferta_kg,utilizacion
AP0049,Fusión,7733.45140164987,9718.075757671642,0.7957801106402087
AP0049,Reducción,2272.721845579403,2623.600757233653,0.8662605540546422
AP0050,Fusión,8151.1379867474425,9130.730930200774,0.8927147288709129
AP0050,Reducción,1370.2125822532435,2691.304320737141,0.5091258434415719
AP0051,Fusión,7068.3090048487375,9301.768538875105,0.7598887217315701
AP0051,Reducción,3455.281832043081,2674.851222479891,1.2917659879563852
AP0052,Fusión,5013.383417971862,9985.111393638803,0.5020858776964401
AP0052,Reducción,624.3008869449859,2326.655438375474,0.2683254583587536
AP0053,Fusión,7181.165488781204,9078.066764415778,0.7910456791229988
AP0053,Reducción,3296.877394475048,2617.589517188133,1.2595089385965372
AP0054,Fusión,6876.065948530615,9395.589637703079,0.7318397475489993
AP0054,Reducción,3026.039273683825,2660.5582499508964,1.1373700514693388
AP0055,Fusión,8971.648948848857,9869.797697241896,0.9090002879548356
AP0055,Reducción,979.3252913875494,2620.2272780542926,0.3737558568258128
AP0056,Fusión,8682.931640684337,9339.983974058589,0.9296516637288472
AP0056,Reducción,1119.6168226704235,2530.4283782327907,0.44246137622450527
AP0057,Fusión,8169.203960221279,9157.552277402616,0.8920728719594418
AP0057,Reducción,1424.3768352210936,2751.0756033927823,0.5177527049654583
AP0058,Fusión,6962.30200462228,9125.721365815007,0.7629316878666814
AP0058,Reducción,2354.397623701454,2223.587333729379,1.058828492134231
AP0059,Fusión,8257.65885838328,8688.212573727542,0.9504439248360219
AP0059,Reducción,2616.6693438319685,2599.66014577762,1.0065428544888742
AP0060,Fusión,7542.009496150301,8583.668620349095,0.8786463958161946
AP0060,Reducción,2870.575734023885,4323.519478002989,0.6639442122624111
AP0061,Fusión,7932.433479475893,8640.891780281849,0.9180109740035598
AP0061,Reducción,2469.7161187182296,2172.710728100694,1.1366980826192024
AP0062,Fusión,7382.410524957199,8539.59559024774,0.8644918189554489
AP0062,Reducción,2642.09588655468,2770.9621859492368,0.9534940245493059
AP0063,Fusión,7414.335171326581,9311.471473416035,0.7962581631157095
AP0063,Reducción,2626.7453904748954,2765.266519433925,0.9499067710162757
AP0064,Fusión,7955.824270468431,8943.502829802226,0.8895646842037577
AP0064,Reducción,3083.5610568297343,2618.4280624159546,1.1776382559788996
AP0065,Fusión,8688.348699351547,8857.542382441628,0.980898349024502
AP0065,Reducción,1296.617904818474,2703.865129741205,0.4795423745645839
AP0066,Fusión,7845.8363457336845,8625.546299068941,0.9096045715481905
AP0066,Reducción,1612.0735835285923,2694.5659333939693,0.5982683754552214
AP0067,Fusión,8553.824109221454,9187.972307350643,0.9309806149914217
AP0067,Reducción,1601.4554076878387,2553.8024510398636,0.6270866436970307
AP0068,Fusión,7893.460344858007,8956.514304749177,0.8813094108131456
AP0068,Reducción,2568.520504481374,2695.6659430539958,0.9528333846780083
AP0069,Fusión,9001.11735661057,9081.941557743225,0.9911005592120614
AP0069,Reducción,1563.3965375295936,2617.530434436308,0.5972792205055202
AP0070,Fusión,8597.534228868668,8686.571735216716,0.9897499831853025
AP0070,Reducción,1960.4931553048186,2362.582569411122,0.8298093707656004
AP0071,Fusión,7880.344655599533,9208.375334267996,0.855780131623617
AP0071,Reducción,3359.2269051471803,2682.0726567070374,1.2524742373204503
AP0072,Fusión,7840.595903276904,8882.842122930544,0.8826674835339985
AP0072,Reducción,3001.4717083640153,2637.602720802557,1.137954432899107
AP0073,Fusión,4500.366417914465,8855.541339370826,0.5081977764483239
AP0073,Reducción,1856.2929610045062,2081.9621957105046,0.891607429197827
AP0074,Fusión,8107.809840329281,8770.35195806781,0.9244566100760575
AP0074,Reducción,2752.8461443319516,2536.025758493954,1.085496129174476
AP0075,Fusión,8875.59401148534,8619.066370982771,1.0297628106642969
AP0075,Reducción,2003.5112182609462,2569.620881204415,0.7796913672813377
AP0076,Fusión,8346.123157653938,8075.385858662076,1.0335262368548561
AP0076,Reducción,2152.647926793501,2389.2762123919347,0.9009623565617212
AP0077,Fusión,8414.247890028157,8699.77619916715,0.9671798098477145
AP0077,Reducción,2457.6438487724927,2589.1552605591364,0.949206826724542
AP0078,Fusión,8589.622142702508,9079.066192654396,0.9460909261408533
AP0078,Reducción,2057.141402259729,2347.714696438002,0.8762314285380858
AP0079,Fusión,8107.420890403624,7223.344322000968,1.122391586084291
AP0079,Reducción,2626.5365804853354,2606.4883399553955,1.0076916670689127
AP0080,Fusión,7209.3203481940045,8396.18372773675,0.8586425192648002
AP0080,Reducción,4131.353050462191,2603.0560013349573,1.587116469389617
AP0081,Fusión,7393.9565444573245,8524.961910102336,0.8673301561260073
AP0081,Reducción,3662.3623126516263,2370.2338233233813,1.5451481101204225
AP0082,Fusión,8443.159661899106,8434.365534051587,1.0010426543421689
AP0082,Reducción,3469.81740565663,2255.238599436246,1.538558894178203
AP0083,Fusión,8487.143908156975,9140.919537468239,0.9284781332303096
AP0083,Reducción,3160.6225184815194,2664.976936929785,1.1859849421896866
AP0084,Fusión,8743.148347343022,8220.484826340915,1.0635806198835542
AP0084,Reducción,2325.953363930125,2468.7161784459813,0.9421712322533069
AP0085,Fusión,7576.1008205298085,8114.572197628184,0.9336414337091282
AP0085,Reducción,3019.164817988335,2523.131714147382,1.1965942170437078
AP0086,Fusión,6498.602713171349,9145.071189923316,0.71061258881527
AP0086,Reducción,3949.80221886248,2915.38115595755,1.3548150336332871
AP0087,Fusión,7726.174267842755,7534.009658344816,1.0255062865873943
AP0087,Reducción,2620.7282181621795,2271.471674929447,1.1537578245361921
AP0088,Fusión,6978.449305375569,7572.835319334192,0.9215107698907571
AP0088,Reducción,3077.5008417884837,2507.912618034715,1.2271164551977563
AP0089,Fusión,7492.548200552736,8706.529685424091,0.8605665484718067
