Batch,orden_inicio,sn_pct_inicio,avance_inicio,perdida_feo_total,hubo_perdida,rendimiento_proxy_batch,f_dross,f_metal,f_polvo,es_lockbox,st_R22_sdi
AP0129,1.0,8.3555,0.9067751883002543,0.2514499838317068,1,68.80948984907785,0.15865155249540888,0.6880948984907787,0.15325354901381252,False,0.7573142999081932
AP0130,0.0,10.1941,0.8894142963047713,0.1657034533964203,1,76.22740468599622,0.1474980397359847,0.7622740468599623,0.09022791340405302,False,1.118353478727188
AP0131,0.0,11.4383,0.8770660914750338,0.2855309565018581,1,64.63338094067147,0.18237273938928994,0.6463338094067148,0.17129345120399528,False,0.623551221545498
AP0132,0.0,14.9908,0.8253537172463002,0.20655723881348975,1,65.88374795030101,0.16419425781231864,0.6588374795030101,0.17696826268467128,False,0.5806719899693038
AP0133,0.0,12.4306,0.8540088779676237,0.2754673801568094,1,68.47738955075236,0.15653739014782722,0.6847738955075235,0.15868871434464923,False,-0.012934139626205321
AP0134,0.0,11.6406,0.8651351189329162,0.17322737936801763,1,61.91397879590847,0.2624060765348126,0.6191397879590848,0.11845413550610256,False,0.2402034786185825
AP0135,0.0,16.486,0.7923538269047766,0.3692006241813959,1,62.26040941233482,0.19058083127654157,0.6226040941233482,0.18681507460011024,False,0.37462576822073257
AP0136,0.0,12.8596,0.8356958915645343,0.27517189515040874,1,68.06820204907228,0.1763479427278335,0.6806820204907228,0.14297003678144365,False,0.07403726375173997
AP0137,0.0,15.4968,0.8004899002285488,0.20580308062660285,1,70.88639124036565,0.16769689414483432,0.7088639124036565,0.12343919345150926,False,0.9729219821186413
AP0138,0.0,17.8759,0.7684801479594001,0.30386906064526487,1,58.625967158488876,0.16216104186555,0.5862596715848888,0.25157928654956124,False,1.0664569853012966
AP0139,0.0,16.468,0.7920575759264941,0.17424951648210055,1,69.90259533159339,0.1551656425382727,0.699025953315934,0.14580840414579335,False,1.3175028498118104
AP0140,0.0,14.4858,0.8103022135866271,0.1674353404083676,1,69.96473877301716,0.16142410172786467,0.6996473877301715,0.13892851054196384,False,0.9059117393979635
AP0141,0.0,18.7628,0.7271593016408555,0.3278867878186717,1,62.295206859461196,0.18131005513707854,0.6229520685946119,0.19573787626830955,False,0.20139458131759747
AP0142,0.0,13.9039,0.830257718043784,0.17201287816967262,1,73.55770200610748,0.12331821292353863,0.7355770200610748,0.14110476701538643,False,1.0074268649035556
AP0143,1.0,2.6571,0.9689194708042194,0.16799557786970498,1,72.47417241213776,0.12224949083485147,0.7247417241213775,0.15300878504377086,False,1.198282495558828
AP0144,0.0,13.8471,0.8370999117030017,0.2775674330653974,1,69.91445579487271,0.13527356072565505,0.699144557948727,0.165581881325618,False,0.7090324119405241
AP0145,0.0,11.8143,0.8587083745403976,0.3422318050207808,1,64.86719646914743,0.20858118014294943,0.6486719646914743,0.1427468551655763,False,-0.6000139385900558
AP0146,0.0,11.6958,0.8559394158878866,0.21435121810737323,1,72.80955270837866,0.1510173431319196,0.7280955270837866,0.12088712978429397,False,0.7540579483989617
AP0147,0.0,18.5248,0.7535841333577546,0.36169792219058217,1,72.96307508304407,0.13062973226723745,0.7296307508304408,0.1397395169023218,False,0.02490290428239128
AP0148,0.0,17.3693,0.7637866461515467,0.16871701470532052,1,77.68774908452457,0.06271633759977725,0.7768774908452458,0.16040617155497708,False,1.3069565666585607
AP0149,0.0,18.3862,0.7671978765841555,0.22073164074937954,1,74.86081370884254,0.11701672311043158,0.7486081370884256,0.13437513980114288,False,1.0515759920754266
AP0150,0.0,13.9245,0.797341015407267,0.3246019870901567,1,68.49495300566005,0.16398575754777134,0.6849495300566005,0.15106471239562816,False,-0.08675741074211107
AP0151,0.0,13.9495,0.8003893392212083,0.29715960369102506,1,57.404971526154746,0.18636904392452736,0.5740497152615475,0.23958124081392515,False,-0.4005085468594529
