n,esquema,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,r_parcial,p_perm_unilateral,sd_score_pp,kpi_tercio_bajo,kpi_tercio_alto,beta_medio,beta_sd_folds,spec,signos,muestra
298,crono,0.6089462385251807,1.2288265289337434,0.49555101894940795,0.3101056089553621,0.09405201030529306,0.10515506980512136,0.033067520440699265,0.29685157421289354,0.2533861123117435,-0.7301513695598635,0.6352106062084297,{'xC': np.float64(0.6077)},{'xC': np.float64(0.2378)},M5_C,False,DEV
361,crono,1.0160722719021356,0.7538791582205069,1.3477919648296446,0.08886265150811984,0.13580549221264848,0.009785048698338341,0.08116961736029898,0.06596701649175413,0.37247910592286526,-0.6287010439213612,0.4564947483722517,{'xC': np.float64(0.9008)},{'xC': np.float64(0.1579)},M5_C,False,TOTAL
361,gkf,0.6273977131990061,0.6767908514471264,0.92701860827092,0.17695843642638365,0.13764813312723503,0.008826019209077121,0.061863079551658796,0.11944027986006997,0.46460829162310396,-0.5178880991137131,0.46921838042564074,{'xC': np.float64(1.0213)},{'xC': np.float64(0.2798)},M5_C,False,TOTAL
298,gkf,0.014604252934092059,1.1305131606319256,0.012918251147053153,0.4948465067658616,0.08192064071842302,0.15836316391107824,0.0009599933203131857,0.5092453773113443,0.30333383263596697,-0.623070341764345,0.8595303453999482,{'xC': np.float64(0.6865)},{'xC': np.float64(0.35)},M5_C,True,DEV
298,crono,0.6089462385251807,1.2288265289337434,0.49555101894940795,0.3101056089553621,0.09405201030529306,0.10515506980512136,0.033067520440699265,0.29685157421289354,0.2533861123117435,-0.7301513695598635,0.6352106062084297,{'xC': np.float64(0.6077)},{'xC': np.float64(0.2378)},M5_C,True,DEV
361,crono,1.0160722719021356,0.7538791582205069,1.3477919648296446,0.08886265150811984,0.13580549221264848,0.009785048698338341,0.08116961736029898,0.06596701649175413,0.37247910592286526,-0.6287010439213612,0.4564947483722517,{'xC': np.float64(0.9008)},{'xC': np.float64(0.1579)},M5_C,True,TOTAL
361,gkf,0.6273977131990061,0.6767908514471264,0.92701860827092,0.17695843642638365,0.13764813312723503,0.008826019209077121,0.061863079551658796,0.11944027986006997,0.46460829162310396,-0.5178880991137131,0.46921838042564074,{'xC': np.float64(1.0213)},{'xC': np.float64(0.2798)},M5_C,True,TOTAL
298,gkf,0.6416063755437709,0.3086793043681595,2.0785532637411017,0.01882921522277102,0.10405530014517467,0.07287775057572965,0.10626427763793897,0.037481259370314844,0.742281681702579,-0.6119011589625837,0.9500548487844963,"{'xG_hot': np.float64(-1.1399), 'xC_hot': np.float64(0.1115), 'xC_cold': np.float64(1.8029)}","{'xG_hot': np.float64(0.3165), 'xC_hot': np.float64(0.347), 'xC_cold': np.float64(0.521)}",M6_Ghot+Chot+Ccold,False,DEV
298,crono,0.34203277490451783,0.1783320700868216,1.9179543799272782,0.02755839798696141,0.08651099897087641,0.13624275741470906,0.08776313691689505,0.06546726636681659,1.1479442844599876,-0.3619432806475333,0.7648822015560914,"{'xG_hot': np.float64(-1.1084), 'xC_hot': np.float64(-0.2189), 'xC_cold': np.float64(1.8668)}","{'xG_hot': np.float64(0.503), 'xC_hot': np.float64(0.7582), 'xC_cold': np.float64(0.2359)}",M6_Ghot+Chot+Ccold,False,DEV
361,crono,0.3693489450064774,0.16479450496123738,2.2412697868375826,0.012504302391503214,0.11124919014605428,0.03460360109511119,0.09912436195358075,0.027486256871564217,1.2140571028492815,-0.5597442663453838,0.6876837764412171,"{'xG_hot': np.float64(-1.133), 'xC_hot': np.float64(-0.2389), 'xC_cold': np.float64(1.9463)}","{'xG_hot': np.float64(0.5933), 'xC_hot': np.float64(0.6935), 'xC_cold': np.float64(0.1917)}",M6_Ghot+Chot+Ccold,False,TOTAL
