Batch,orden_escalon_fase,residuo_ln_masa,R,z_residuo,flag_qc
AP0292,0,-0.08539665951501796,True,0.13475498542069592,False
AP0292,1,-0.13282687045071917,True,-0.45784088215110674,False
AP0292,2,-0.07886280200088969,True,0.45769538519401787,False
AP0292,3,-0.10169401411143397,True,0.10848130637888018,False
AP0293,0,-0.04624828769555833,True,0.951304016333474,False
AP0293,1,-0.09490010665135173,True,0.20139033848217058,False
AP0293,2,-0.09468066463993274,True,0.18416005163835628,False
AP0293,3,-0.10007124404090106,True,0.13662848009207657,False
AP0294,0,-0.1420971154456918,True,-1.0478919597963348,False
AP0294,1,-0.15105771423780467,True,-0.7747237426691304,False
AP0294,2,-0.1386613123566356,True,-0.5763890451459461,False
AP0295,0,-0.07047529126943886,True,0.44598194619978904,False
AP0295,1,-0.06873115761669446,True,0.6562508772317189,False
AP0295,2,-0.06415819894439778,True,0.7119793294693394,False
AP0295,3,-0.07398494918920306,True,0.5890989107817917,False
AP0296,0,-0.01823972724913503,True,1.5355010551084214,False
AP0296,1,-0.06960517871308092,True,0.6410589141821404,False
AP0296,2,-0.060177861319091974,True,0.7808105619087204,False
AP0296,3,-0.10467028055735561,True,0.056857548835334115,False
AP0297,0,-0.04894424365186012,True,0.8950722978432682,False
AP0297,1,-0.06762741562547703,True,0.6754357774774554,False
AP0297,2,-0.11541057702818236,True,-0.1743184374656902,False
AP0297,3,-0.11095759342006595,True,-0.052196771643848755,False
AP0298,0,-0.07319856441568717,True,0.38918045114056105,False
AP0298,1,-0.07244698747268963,True,0.5916634775634634,False
AP0298,2,-0.07927361089638651,True,0.4505913439703955,False
AP0298,3,-0.07175049188620974,True,0.6278558850470487,False
AP0299,0,-0.05051006269565406,True,0.8624127525449075,False
AP0299,1,-0.11997860363312185,True,-0.23451630159915407,False
AP0299,2,-0.10284681663541662,True,0.04294431592717249,False
AP0299,3,-0.11462537387096106,True,-0.11581493626732357,False
AP0300,0,-0.10002506402594058,True,-0.1703613954668619,False
AP0300,1,-0.15841552144204663,True,-0.9026148606694919,False
AP0300,2,-0.1699059813807562,True,-1.1166972497610117,False
AP0300,3,-0.16760674799595243,True,-1.034784276495699,False
AP0301,0,-0.05838780813325961,True,0.6981002893722522,False
AP0301,1,-0.05757172241687769,True,0.8502207114962461,False
AP0301,2,-0.07759399205623652,True,0.47963667772824375,False
AP0301,3,-0.06452917451066931,True,0.753110644361602,False
AP0302,0,-0.10645713403818213,True,-0.3045202452775276,False
