fase,Batch,avance_prev,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,pred_feo_ret,feo_ret_lo,feo_ret_hi,pred_dT,dT_lo,dT_hi,pred_temperatura,support_score,derivada__exceso_o2_combustion_pct,derivada__relacion_C_Sn_carga,derivada__m6_dosis_C_sn,derivada__m6_exceso_C_pos,J_costo,J_temperatura,J_soporte,J_sn,J_feo,J_incertidumbre,J
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,60.96648949235609,1.7006796987480763,1.304371533775878,2.096987863720275,-0.1685031293598324,-0.2433414390623507,-0.09366481965731407,-1.4616796516510495,-16.218960159708026,13.295600856405926,956.6316207686078,0.42528501634684873,-5.317912998767342,5.606874654443643,0.1460308999212685,0.0,-123.83538145194017,-0.0,-17.151607729560816,2521.5340138450697,-1521.4846205999374,-631.6686913931452,227.39371267048605
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,63.5879362626851,1.7165494455230752,1.3202412805508765,2.112857610495274,-0.1702389960809351,-0.2450773057834534,-0.09540068637841678,-1.3443796578080056,-16.10166016586498,13.41290085024897,956.7489207624509,0.41130285722650256,-5.317912998767342,5.8479599387845385,0.1523099596826944,0.0,-127.76755160743369,-0.0,-45.11592597025316,2545.0634922728564,-1537.1584809585129,-631.6686913931453,203.35284234351133
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,66.2093830330141,1.732419192298074,1.3361110273258756,2.1287273572702725,-0.17197486280203775,-0.24681317250455606,-0.09713655309951943,-1.2270796639649615,-15.984360172021937,13.530200844092015,956.8662207562938,0.3919909109993687,-5.317912998767342,6.089045223125433,0.1585890194441203,0.0,-131.6997217629272,-0.0,-83.73981842452083,2568.592970700643,-1552.832341317088,-631.6686913931452,168.65239780296173
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,10.37701100559476,1.4086929384281583,1.0123847734559597,1.805001103400357,-0.09045838286620458,-0.1652966925687229,-0.015620073163686271,-11.22683677086868,-25.984117278925655,3.530443737188296,946.8664636493902,0.024437608730638667,148.10767149833234,5.287003210746198,0.13769985675353275,0.0,-103.48449930883338,-0.0,-818.8464229619809,2088.616193822239,-816.786245205957,-631.6686913931453,-282.16966504767777
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,11.178045194171851,1.427879930246172,1.0315717652739735,1.8241880952183704,-0.0964716775017482,-0.17130998720426652,-0.02163336779922989,-10.769063243055738,-25.526343751112712,3.9882172650012375,947.3242371772031,0.028356761927284015,130.3279323877729,5.287003210746198,0.13769985675353275,0.0,-104.20543007855277,-0.0,-811.0081165686902,2117.064027078615,-871.0827757325686,-631.6686913931452,-300.9009866943421
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,11.97907938274894,1.4456406775459427,1.049332512573744,1.8419488425181414,-0.10193878578492674,-0.17677709548744505,-0.027100476082408426,-10.311289715242797,-25.068570223299773,4.445990792814179,947.7820107050161,0.03283118944107204,114.92603525262433,5.287003210746198,0.13769985675353275,0.0,-104.92636084827214,-0.0,-802.0592615411142,2143.397221071961,-920.4475632211595,-631.6686913931453,-315.70465593173003
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,12.780113571326032,1.4622433635358614,1.065935198563663,1.8585515285080598,-0.10696240960625245,-0.18180071930877076,-0.03212409990373413,-9.853516187429857,-24.610796695486833,4.903764320627118,948.239784232829,0.03791701500180833,101.45486371006862,5.287003210746198,0.13769985675353275,0.0,-105.64729161799153,-0.0,-791.8876104196416,2168.013400988489,-965.8079456239362,-631.6686913931452,-326.99813806622524
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,13.581147759903121,1.477892900212629,1.0815847352404306,1.8742010651848275,-0.11162102087892298,-0.1864593305814413,-0.036782711176404664,-9.395742659616916,-24.153023167673894,5.36153784844006,948.697557760642,0.043668705961716396,89.57278745703371,5.287003210746198,0.13769985675353275,0.0,-106.3682223877109,-0.0,-780.3842284998254,2191.216382161507,-1007.8724783815775,-631.6686913931452,-335.0772385007516
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,14.382181948480213,1.4927485482202958,1.0964403832480971,1.8890567131924945,-0.11597560913813823,-0.19081391884065654,-0.04113729943561992,-8.937969131803976,-23.695249639860954,5.819311376252999,949.1553312884549,0.05013608976395365,79.01428635331285,5.287003210746198,0.13769985675353275,0.0,-107.08915315743029,-0.0,-767.449460895351,2213.242294375674,-1047.191861295189,-631.6686913931453,-340.15687236544136
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,15.183216137057304,1.5069359591915856,1.1106277942193872,1.903244124163784,-0.12007429320649024,-0.19491260290900855,-0.04523598350397193,-8.480195603991033,-23.237476112048007,6.277084904065942,949.6131048162679,0.057366316583201876,69.56987337003532,5.287003210746198,0.13769985675353275,0.0,-107.81008392714968,-0.0,-752.9890072568546,2234.277436594894,-1084.2005791652211,-631.6686913931452,-342.39092514747665
