combo,sn_forma,feo_forma,estado_id,orden,q_avance,C_hist,C_p5,C_p95,C_opt,interior,J_hist_aprox,J_opt
F2+G0,F2,G0,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-80.47308113384078,-80.47308113384078
F2+G1,F2,G1,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-80.47308010895217,-80.47308010895217
F2+G2,F2,G2,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-80.473080773036,-80.473080773036
F3+G0,F3,G0,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-80.23695091507663,-80.23695091507663
F3+G1,F3,G1,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-80.23694989018803,-80.23694989018803
F3+G2,F3,G2,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-80.23695055427186,-80.23695055427186
F4+G0,F4,G0,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-61.047037137979345,-61.047037137979345
F4+G1,F4,G1,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-61.04703611309074,-61.04703611309074
F4+G2,F4,G2,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-61.04703677717457,-61.04703677717457
F0+G0,F0,G0,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,5.552316990201436,False,-118.70892646293035,-118.51044424806273
F0+G1,F0,G1,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,5.552316990201436,False,-118.70892660938964,-118.51044458961088
F0+G2,F0,G2,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,5.552316990201436,False,-118.70892676212657,-118.51044474234781
F2+G0,F2,G0,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,19.207564869229753,False,-121.83177084073219,-81.22084229803272
F2+G1,F2,G1,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,19.207564869229753,False,-121.83177098719148,-81.22084297514066
F2+G2,F2,G2,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,19.207564869229753,False,-121.8317711399284,-81.2208408902026
F3+G0,F3,G0,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,19.207564869229753,False,-127.57802799572077,-58.30128407968435
F3+G1,F3,G1,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,19.207564869229753,False,-127.57802814218006,-58.3012847567923
F3+G2,F3,G2,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,19.207564869229753,False,-127.57802829491699,-58.301282671854224
F4+G0,F4,G0,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,19.207564869229753,False,-126.0206015037967,-89.63106441659862
F4+G1,F4,G1,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,19.207564869229753,False,-126.02060165025598,-89.63106509370655
F4+G2,F4,G2,8,2,0.75,6.986532011486235,5.552316990201436,19.207564869229753,19.207564869229753,False,-126.02060180299291,-89.63106300876848
F0+G0,F0,G0,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-309.3325659213786,-308.6749772034612
F0+G1,F0,G1,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-309.33256710178955,-308.67497719724696
F0+G2,F0,G2,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-309.33256610313856,-308.67497607078934
