combo,estado_id,orden,q_avance,C,J
F0+G0,7,2,0.5,9.753931722210147,-89.06816908266671
F0+G0,7,2,0.5,10.104066283210873,-89.04422493747634
F0+G0,7,2,0.5,10.4542008442116,-89.02028079228597
F0+G0,7,2,0.5,10.804335405212328,-88.9963366470956
F0+G0,7,2,0.5,11.154469966213053,-88.97239250190523
F0+G0,7,2,0.5,11.504604527213779,-88.94844835671495
F0+G0,7,2,0.5,11.854739088214505,-88.92450421152456
F0+G0,7,2,0.5,12.20487364921523,-88.9005600663342
F0+G0,7,2,0.5,12.555008210215956,-88.87661592114382
F0+G0,7,2,0.5,12.905142771216681,-88.85267177595344
F0+G0,7,2,0.5,13.255277332217409,-88.82872763076307
F0+G0,7,2,0.5,13.605411893218136,-88.80478348557266
F0+G0,7,2,0.5,13.955546454218862,-88.78083934038229
F0+G0,7,2,0.5,14.305681015219587,-88.75689519519192
F0+G0,7,2,0.5,14.655815576220313,-88.73295105000155
F0+G0,7,2,0.5,15.005950137221038,-88.70900690481116
F0+G0,7,2,0.5,15.356084698221764,-88.68506275962079
F0+G0,7,2,0.5,15.70621925922249,-88.6611186144305
F0+G0,7,2,0.5,16.05635382022322,-88.63717446924014
F0+G0,7,2,0.5,16.406488381223944,-88.61323032404977
F0+G0,7,2,0.5,16.75662294222467,-88.58928617885938
F0+G0,7,2,0.5,17.106757503225396,-88.56534203366901
F0+G0,7,2,0.5,17.45689206422612,-88.54139788847864
F0+G0,7,2,0.5,17.807026625226847,-88.51745374328826
F0+G0,7,2,0.5,18.157161186227572,-88.49350959809789
F0+G0,7,2,0.5,18.507295747228298,-88.46956545290752
F0+G0,7,2,0.5,18.857430308229027,-88.44562130771715
F0+G0,7,2,0.5,19.207564869229753,-88.42167716252673
F0+G1,7,2,0.5,5.552316990201436,-89.35549817176761
F0+G1,7,2,0.5,5.902451551202162,-89.331553977805
F0+G1,7,2,0.5,6.252586112202888,-89.3076097838424
F0+G1,7,2,0.5,6.602720673203613,-89.28366558987977
F0+G1,7,2,0.5,6.95285523420434,-89.25972139591715
F0+G1,7,2,0.5,7.302989795205066,-89.23577720195455
F0+G1,7,2,0.5,7.653124356205792,-89.2118330079919
F0+G1,7,2,0.5,8.003258917206518,-89.1878888140293
F0+G1,7,2,0.5,8.353393478207245,-89.16394462006667
F0+G1,7,2,0.5,8.70352803920797,-89.14000042610407
F0+G1,7,2,0.5,9.053662600208696,-89.11605623214146
F0+G1,7,2,0.5,9.403797161209422,-89.09211203817885
F0+G1,7,2,0.5,9.753931722210147,-89.06816784421625
F0+G1,7,2,0.5,10.104066283210873,-89.04422365025363
F0+G1,7,2,0.5,10.4542008442116,-89.02027945629101
F0+G1,7,2,0.5,10.804335405212328,-88.9963352623284
F0+G1,7,2,0.5,11.154469966213053,-88.9723910683658
F0+G1,7,2,0.5,11.504604527213779,-88.94844687440317
F0+G1,7,2,0.5,11.854739088214505,-88.92450268044057
F0+G1,7,2,0.5,12.20487364921523,-88.90055848647796
