,irf_F0,sio2_F0,al2o3_F0,feo_F0,cao_F0,masa_F0,feed_total_F0,frac_dross_F0,frac_Fe_F0,frac_sec_F0,cal_F0,T_F0,lanza_F0,gn_F0,C_F0,exc_o2_F0,kpi,irf_Rfin_prev,sio2_Rfin_prev,al2o3_Rfin_prev,kpi_prev,gap_h,es_lockbox
AP0226,0.21872018292666023,35.3864,11.1059,14.875290872951918,21.5183,5710.301351185753,11470.59568062945,0.16407143619818393,0.1440824041346785,0.41391008620506586,0.10712257757696292,988.9452213148998,350.96773420061385,30.5841919196486,0.02669165128699988,19.42014808559814,67.43359127513693,0.16697453379725577,44.8102,13.4026,60.86118849974752,1.8666666666666667,False
AP0227,0.2242640741197511,38.5878,11.8556,16.623372656459843,23.6807,5290.201775958493,11527.048888986235,0.15371082584903406,0.14363940867638816,0.40569874134481376,0.10867975177552827,959.0846305816624,381.66977108226104,30.377777859409164,0.0386984457734012,19.778365778676893,72.65281995285044,0.2153073263142913,42.2318,13.2369,67.43359127513693,1.1166666666666667,False
AP0228,0.24669028519907,34.7135,11.1445,16.328380639269405,20.3318,5601.7911825977335,10845.610439467133,0.1674871087011344,0.1508692043221703,0.39391213008179854,0.10501437295947767,1001.1434570372097,336.8618530273437,30.66908875767586,0.0336349690413363,19.196753289152436,67.57184117073118,0.1915836085800264,44.9816,13.5503,72.65281995285044,0.8833333333333333,False
AP0229,0.3345056461842385,31.6594,10.3127,20.29552797206554,18.7011,6042.5765712562825,11075.311629158883,0.1482637988232445,0.14215043551124484,0.40141387878855367,0.10203128589105252,957.0573173096752,418.6961780894886,30.55441313064638,0.027558462620096813,19.21819319471584,74.73219532607355,0.2260733763270117,41.7082,13.1137,67.57184117073118,1.4166666666666667,False
AP0230,0.2327602572224203,36.3254,11.2872,16.674060338436746,24.0236,5259.814998504587,11314.880442425609,0.14527969897039805,0.16665712219010909,0.38151264210202573,0.11167567544442089,939.1281670924352,370.63405080942005,30.50165427879051,0.022175081401848956,19.378346079086846,63.99737737146059,0.2529856885842523,39.8565,12.4824,74.73219532607355,0.8666666666666667,False
AP0231,0.2597396592854465,36.7568,12.1016,18.548346731130806,22.5529,5256.7550426233975,11592.643862806946,0.14641347107985553,0.16261052282098407,0.3954763173159362,0.10226750015252802,996.798680805062,341.4672028914742,31.243073432243136,0.025429608114931977,18.90333931051499,66.26445030543391,0.2187071022269488,40.0405,12.2292,63.99737737146059,1.1666666666666667,False
AP0232,0.22920208333645242,32.241,10.3146,13.717836368520011,17.2948,6383.793956636893,11444.597398764538,0.1479899150379461,0.1627919099362939,0.407946069788696,0.09647035703777775,979.9271259268969,402.52720561780427,29.963287994008006,0.024005083323852008,19.758421201744273,74.07367684909066,0.24352351509265707,40.6959,12.7168,66.26445030543391,1.2666666666666666,False
AP0233,0.26252237269886075,34.1309,11.2457,18.114542508729517,23.6253,5242.247685601952,11460.2878957915,0.1499463542993612,0.16695363600859664,0.4117643526546236,0.10806855409987774,935.7961221138735,448.5854230608259,30.571360232272255,0.053710774172474496,19.647054585522525,66.72365286029398,0.25970297884409166,40.4044,12.925,74.07367684909066,1.0333333333333334,False
AP0234,0.28342092524625795,29.2877,9.6613,17.022827612140745,21.113,5346.449301890067,11540.528829819814,0.14119633629730852,0.165378678668733,0.3975749830373624,0.09781144848330785,956.0595775807653,249.83590126037598,30.59377759140705,0.05461680009670872,19.033335123007355,71.41973643193772,0.2097537760276747,41.7485,13.0382,66.72365286029398,1.5666666666666667,False
AP0235,0.2542720878542438,35.1121,11.3891,17.57653264571582,22.6237,5144.941098677572,11465.898044174832,0.14530328609386284,0.16518428126602488,0.4084655600371192,0.10151634305983277,944.9910207179512,550.1511077880859,30.1724509407954,0.06406647674494952,19.42495630920019,63.84925183569626,0.250172257470289,40.3364,12.9253,71.41973643193772,1.3166666666666667,False
AP0236,0.1942349885155563,39.1854,12.4512,15.046393961858715,25.8283,4285.150168959467,11252.645029641455,0.1459212773123302,0.16715395604275204,0.4034980623033403,0.09835744735339115,939.3290557753385,316.6416534423828,31.384108379348316,0.020497531511309928,18.765216746948855,61.84588944667188,0.22706494762827875,41.2517,13.2998,63.84925183569626,1.3,False
