Batch,orden,lnirf_R,sdi
AP0063,2,-1.5078339092448017,-0.7573495386782539
AP0063,3,-1.4951684160394787,0.5450368676986876
AP0064,0,,
AP0064,1,,
AP0064,2,,
AP0064,3,,
AP0064,4,,
AP0064,5,,
AP0064,6,,
AP0064,0,-1.372679524687218,1.640947053441269
AP0064,1,-1.5639619902426858,-0.8831976574141127
AP0064,2,-1.640086190518156,-0.20489528473016372
AP0064,3,,
AP0065,0,,
AP0065,1,,
AP0065,2,,
AP0065,3,,
AP0065,4,,
AP0065,5,,
AP0065,6,,
AP0065,0,-1.588004442168543,1.2104473310382255
AP0065,1,-1.5811812271701664,0.1077716650599732
AP0065,2,-1.667970549383691,-0.6979114041571627
AP0065,3,,
AP0066,0,,
AP0066,1,,
AP0066,2,,
AP0066,3,,
AP0066,4,,
AP0066,5,,
AP0066,6,,
AP0066,0,-1.4296270702872378,1.7784495330585701
AP0066,1,-1.430806816345997,-0.23667335447173066
AP0066,2,-1.47942597599964,0.2411408002974892
AP0066,3,,
AP0067,0,,
AP0067,1,,
AP0067,2,,
AP0067,3,,
AP0067,4,,
AP0067,5,,
AP0067,6,,
AP0067,0,-1.501675014954036,1.0623294871331868
AP0067,1,-1.6382897078154912,-0.41253430693021653
AP0067,2,,
AP0067,3,,
AP0068,0,,
AP0068,1,,
AP0068,2,,
AP0068,3,,
AP0068,4,,
AP0068,5,,
AP0068,6,,
AP0068,0,-1.435058624700094,0.1313519170558659
AP0068,1,-1.4374355644225327,-0.006570269030421601
AP0068,2,-1.603450055584765,-0.3468008277397292
AP0068,3,-1.674359477915179,0.24053437064850425
AP0069,0,,
AP0069,1,,
AP0069,2,,
AP0069,3,,
AP0069,4,,
AP0069,5,,
AP0069,6,,
AP0069,0,-1.5342919329589808,1.3215254465006652
AP0069,1,-1.5771611380461235,0.19008092999126236
AP0069,2,-1.58341021524249,0.249443381618559
AP0069,3,,
AP0070,0,,
AP0070,1,,
AP0070,2,,
AP0070,3,,
AP0070,4,,
AP0070,5,,
AP0070,6,,
AP0070,0,-1.531018548727357,0.6537171681073666
AP0070,1,-1.6098255946497533,0.9356849263327097
AP0070,2,-1.6752813932144104,-0.26574467099672006
AP0070,3,,
AP0071,0,,
AP0071,1,,
AP0071,2,,
AP0071,3,,
AP0071,4,,
AP0071,5,,
AP0071,6,,
AP0071,0,-1.5673620283556537,-0.73359811142979
AP0071,1,-1.574047299864327,0.9819041113697655
AP0071,2,-1.642981384738087,-0.4116542819893586
AP0071,3,-1.546427820622707,0.8955247261796844
AP0072,0,,
AP0072,1,,
AP0072,2,,
AP0072,3,,
AP0072,4,,
AP0072,5,,
AP0072,6,,
AP0072,0,-1.3955349252335354,1.4814077674080024
AP0072,1,-1.405842503103398,-0.3809042081906664
AP0072,2,-1.4479977047454833,0.05749006025827863
AP0072,3,-1.5158866676851332,-0.07357599467232145
AP0073,0,,
AP0073,1,,
AP0073,2,,
AP0073,3,,
AP0073,4,,
AP0073,5,,
AP0073,6,,
AP0073,0,-1.4849073843238865,0.5440455367727265
AP0073,1,-1.5103505859215969,-0.09303788506958732
AP0073,2,-1.5850226295989176,-0.07460999547157549
AP0073,3,-1.6862363299820784,-0.24172606049715828
AP0074,0,,
AP0074,1,,
AP0074,2,,
AP0074,3,,
AP0074,4,,
AP0074,5,,
AP0074,6,,
AP0074,0,-1.4960900385498879,-0.5155024114193565
AP0074,1,-1.5512769347942676,0.6221139349481607
AP0074,2,-1.6110427251419168,-0.1398077713831573
AP0074,3,-1.6503034586267087,0.8377539231430926
AP0075,0,,
AP0075,1,,
AP0075,2,,
AP0075,3,,
AP0075,4,,
AP0075,5,,
AP0075,6,,
AP0075,0,-1.4357122225197578,0.19118776919205116
AP0075,1,-1.5046978986862938,0.6227337900241108
AP0075,2,-1.55915141170077,0.18773797324575414
AP0075,3,,
AP0076,0,,
AP0076,1,,
AP0076,2,,
AP0076,3,,
AP0076,4,,
AP0076,5,,
AP0076,6,,
AP0076,0,-1.4090221833145935,1.396750924906144
AP0076,1,-1.4239133998617959,0.3521692371330334
AP0076,2,-1.5326905833471278,-0.3027798929086716
AP0076,3,,
AP0077,0,,
AP0077,1,,
AP0077,2,,
AP0077,3,,
AP0077,4,,
AP0077,5,,
AP0077,6,,
AP0077,0,-1.5120506914267633,-0.23256060192941153
AP0077,1,-1.466680427596526,0.8765351786292314
AP0077,2,-1.5078430346432887,-0.005347458120483206
AP0077,3,-1.612181627421391,-0.34227815506494863
AP0078,0,,
AP0078,1,,
AP0078,2,,
AP0078,3,,
AP0078,4,,
AP0078,5,,
AP0078,6,,
AP0078,0,-1.3352204126055294,1.2279985696463835
AP0078,1,-1.3984937049730408,0.5254405925599456
AP0078,2,-1.4203852127653929,0.14246069429102426
