modelo,muestra,variable,coef_por_sd,ci_lo,ci_hi,p,r2_adj,n
E_irf_F0_y_dIRF,lockbox,d_irf,0.7526914248948149,-1.1907634448195488,2.6961462946091785,0.44780151315329764,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,feed_sn_total_t,-1.2890065845023422,-3.89426547183039,1.3162523028257058,0.3321794122736791,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,ley_sn_conc_batch_pct,0.5971642127022854,-2.088623686126938,3.282952111531509,0.662994275917105,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,espesor_ladrillo_norm_mm,-0.9087432483679216,-3.1572601013780885,1.3397736046422453,0.42828840990694417,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,frac_carga_secundaria_F,-0.2893607130701721,-2.92918409495278,2.350462668812436,0.8298929749487103,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,feed_dross_Fe_total_t,0.44546926485327765,-3.1461950281246,4.037133557831155,0.8079343745317646,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,fe_por_carga,-0.5011299162538876,-2.420022973114915,1.4177631406071403,0.6087519172420855,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,cal_por_carga,0.4557301352534757,-1.655513420411055,2.5669736909180063,0.6722404434646029,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,c_por_sn,-0.15237207931281738,-1.6266640059315127,1.321919847305878,0.8394730108631968,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,gn_por_carga,0.009065805039092822,-0.9648592326205946,0.9829908426987802,0.98544390422352,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,exceso_o2_F,-0.9205520075198933,-1.9395092799558333,0.09840526491604684,0.07661368235592288,0.284460133423984,63
E_irf_F0_y_dIRF,lockbox,T_F,-0.16315205896804352,-1.5730802500272927,1.2467761320912056,0.8205790178016411,0.284460133423984,63
E_irf_F0_y_dIRF,total,irf_F0,1.764670000951123,0.6041104492214615,2.9252295526807846,0.002880682875511343,0.15445694218592032,360
E_irf_F0_y_dIRF,total,d_irf,-0.0164265921343123,-1.0985089700540773,1.0656557857854527,0.9762637980394007,0.15445694218592032,360
E_irf_F0_y_dIRF,total,feed_sn_total_t,0.21607537231999996,-0.6815806446415225,1.1137313892815224,0.6370808123351644,0.15445694218592032,360
E_irf_F0_y_dIRF,total,ley_sn_conc_batch_pct,-0.38078492538009523,-0.974069828644595,0.21249997788440456,0.2084086229027583,0.15445694218592032,360
E_irf_F0_y_dIRF,total,espesor_ladrillo_norm_mm,-0.3922117092338484,-1.3696704916925708,0.585247073224874,0.4316048803411102,0.15445694218592032,360
E_irf_F0_y_dIRF,total,frac_carga_secundaria_F,-1.2153333450155843,-2.2586232230199963,-0.17204346701117235,0.022420275548213898,0.15445694218592032,360
E_irf_F0_y_dIRF,total,feed_dross_Fe_total_t,0.1632754350486263,-0.9728900543067642,1.2994409244040168,0.7782031482423161,0.15445694218592032,360
E_irf_F0_y_dIRF,total,fe_por_carga,-0.22794131861758737,-0.9926729442853748,0.5367903070502,0.5590852694799119,0.15445694218592032,360
E_irf_F0_y_dIRF,total,cal_por_carga,-0.9197038115521778,-1.4904937709618231,-0.34891385214253245,0.0015882533961617128,0.15445694218592032,360
E_irf_F0_y_dIRF,total,c_por_sn,0.4111361917349672,-0.15642901754041894,0.9787014010103533,0.15567461486807432,0.15445694218592032,360
E_irf_F0_y_dIRF,total,gn_por_carga,0.40596994357436866,-0.16260293059510122,0.9745428177438386,0.16167957930776977,0.15445694218592032,360
E_irf_F0_y_dIRF,total,exceso_o2_F,-0.28392900371402585,-0.7098186575969911,0.14196065016893938,0.1913300871254069,0.15445694218592032,360
E_irf_F0_y_dIRF,total,T_F,0.6579504536768717,-0.26960734831074595,1.5855082556644893,0.16444578900645868,0.15445694218592032,360
