Batch,K0_proxy,K1_recuperacion_real,K2_recup_corr_escoria,K3_ventana3_centrada,K3_ventana5_centrada,K5_DP_desplazados_1,K5_DP_desplazados_2,K5_DP_desplazados_3,K6_solo_dross,K7_M_sobre_MD,K8_M_por_Sn_menos_D
AP0064,68.33958031216245,72.519375088393,73.24436380224259,67.52163443716468,67.19257895254027,66.2992996275512,78.0606278108277,71.9945713778245,87.73374163493214,84.78241952895544,83.37140476945343
AP0065,62.506838131807285,63.6809058217972,64.20133832416056,68.02868139623544,68.69581831180696,75.0945184785633,68.53888757132339,62.92414017397314,85.30308166118239,80.96346730950894,74.89489700657656
AP0066,74.42650379199918,64.08152837988834,64.7327989091405,67.71661519282652,67.13675087515617,67.77050370431024,62.0944659885213,65.12137340487286,89.93047146626908,88.08283861789731,70.16474575697139
AP0067,67.45633364604086,60.2954778329233,60.96881901084302,68.35894406079426,65.78131622486224,61.75618962526263,64.79479457070828,66.00993128903137,88.50145119610222,85.43655763000035,67.20249327984176
AP0068,64.37056071084467,66.79353930925875,67.22226030444703,64.42366041088951,67.06486783654312,67.31139494640078,68.48192159893236,60.37167984412877,87.76185434749691,84.0251242535558,76.5093051690762
AP0069,61.28607897234433,51.780314292929205,52.33766127494407,64.84016114808321,63.64910117224501,62.552329467471836,53.942463479753314,62.15096585626383,78.49017322872493,74.02066372957975,63.280655563267096
AP0070,68.40189663779786,67.65810212365633,68.55214765175403,62.19437922567175,64.01485780298042,60.28300546511742,68.03118658141267,68.8534100472242,88.32500388213923,85.4202682995142,76.49135736591461
AP0071,57.02027857631483,57.19889676039004,58.18909634873879,64.65502628568218,64.52621069497499,65.03579252282047,65.89643646122003,61.51725209416087,81.11649000662534,75.12178199637934,70.56597106697029
AP0072,68.78991355814203,69.2687969921284,70.38139070270431,64.16665753736989,64.55939753993555,69.60134248157101,65.44845338775554,66.70424607282831,87.07067571621064,84.17835919028221,79.63700299428488
AP0073,67.07364898153848,61.602707877348436,62.13314334102202,65.93655528474687,64.32958437226688,62.76020188289877,64.06004681874467,71.54753932412856,86.80972769382103,83.56637441261242,70.09419339149187
AP0074,61.8489811448908,60.37514149571206,60.69439538324595,65.35531530742396,67.50577464114679,63.1619630372127,70.75112890519331,57.215190500811616,85.55352956227425,81.06509609936265,70.28719338791406
AP0075,67.05338260366518,69.8660776528758,70.51458749501175,67.19850318047362,65.18324409101048,74.16872561561522,61.35040379848183,70.22508281075305,83.98312659494229,80.71888281724348,83.86150120532156
AP0076,73.0125644963346,66.59993232007334,67.56934582378788,65.66761262795654,65.67704629129204,59.93047168434339,68.96626695080285,69.41583976574927,88.75786945058407,86.65696844156705,74.20997503918618
AP0077,57.96378107353545,61.93994308480698,62.674365136550406,66.4338731015269,67.17808700609983,67.20034846842356,67.66350861617265,62.84785309004821,80.85550818256745,75.17193538428349,77.8704973203867
AP0078,69.46175275786955,67.85958359635524,68.67642776748951,65.45113302004128,66.9522549226187,69.90727967707299,65.25418499469731,69.75651797304735,87.5610551500202,84.81216251717535,77.24661946562694
AP0079,69.59159440477647,67.07604363369407,68.12119007761494,68.27725137008244,66.3064277083302,64.91418555508054,69.43994252535762,65.83035578353277,88.35884525754908,85.66938228158163,75.55340630733602
AP0080,66.00034666524354,70.88721973426762,71.60371363536684,68.22279244282832,68.28407705359756,70.44977715678618,66.90261558259691,64.60492316669452,85.93120324192286,82.42919037650212,83.50528073799566
AP0081,69.31476919887791,66.39995775414714,67.13819517241824,67.50402539696059,67.70833345376371,65.69770113429568,63.36216891097632,64.56118384440522,87.2909543255668,84.50566375867447,75.60450995032039
AP0082,67.37416963669861,67.66144533448791,68.38060006392652,67.71023620899379,66.58947178663797,65.09213266157653,66.26467556770855,67.12868333409696,84.32500834834778,81.125647257017,80.30253177430525
AP0083,66.68643359792155,73.477671023808,73.83777459253501,65.97264421703515,66.96309145710639,67.83188955361916,68.67473347691647,70.97185371685224,86.50365748378303,83.16802788543364,86.31311072142347
AP0084,63.66807038669051,61.1745785606485,61.574416935387205,66.13428914521727,66.94856231670333,64.56301653606081,67.01684106658787,63.924731376827424,83.35553933512114,79.27538772972886,72.82046252446574
