Batch,idx_cronologico,es_lockbox,M_t,D_t,P_t,Sn_cargado_t,Sn_escoria_final_t,K0,K1,K2,K3,K3b,K4,K5_k1,K5_k2,K5_k3,K6,K7
AP0253,253,False,33.38664,5.452240000000001,9.308580832,51.37903088062446,1.1079250698793308,69.34247294264458,64.98106217217583,66.41318001973175,69.9329279120092,69.06584927100603,69.1084806292882,67.75584585978051,67.1381907998015,78.30772364219017,88.67595527202484,0.8596190209398417
AP0254,254,False,34.52344,5.622240000000001,10.266041708,50.437998735031655,0.47279775258025736,68.48296156193642,68.44728352796794,69.09496874059448,69.06584927100603,72.06587860245276,71.50081512165336,67.87263051345673,78.87109269684271,74.30282350183498,88.8473557150741,0.8599540473595166
AP0255,255,False,37.0048,6.15944,10.182159028000001,50.57057060327713,0.6882023265611035,69.36700634765852,73.17457477452702,74.18412813666069,72.06587860245276,73.92535263893261,71.88398543240358,80.004598382597,75.60560357750064,70.7248085913809,88.45387858931754,0.8573022483426095
AP0256,256,False,35.47992,4.716480000000001,4.532061368,50.14340661413943,0.5662739733735757,79.32291635988028,70.75689985130643,71.56509081936272,73.92535263893261,74.51805317191021,72.17398717800567,74.82114956283517,69.84599994939232,71.12949753123696,89.45530461869565,0.8826641191748515
AP0257,257,False,33.9178,4.70424,7.235480312000001,49.29252887242078,0.5402615981871819,73.9634410435498,68.80921059616611,69.57173870337334,74.51805317191021,72.12839523205993,72.83329388523063,68.88928333558677,70.19612673219325,71.57581011659771,89.74161714808423,0.8781980444326608
AP0258,258,False,37.3576,4.73144,10.585994216,49.96544513622631,0.6838725866238098,70.92088416461371,74.76687118096886,75.80439922528673,72.12839523205993,71.7507877029978,73.55865651622392,72.17685494039593,73.49946199242189,69.54324564407707,91.01768025323307,0.8875849864952966
AP0259,259,False,36.530480000000004,5.03472,9.366100384,50.33884434647523,0.6632877685044162,71.72500942362744,72.5691669609374,73.53813931135673,71.7507877029978,71.20387454093394,71.64665689605289,73.06107877977944,69.06696042092628,72.5927209273532,90.11468397225207,0.8788717484819032
AP0260,260,False,35.80528,4.31664,9.152798712,50.13829139941315,0.5196268959844066,72.66460557446115,71.41304380471787,72.16091033148584,71.20387454093394,70.97442965018818,71.1138864190636,68.63693788262945,72.19197825868197,71.82154355240334,91.23964557721817,0.8924119284421085
AP0261,261,False,37.0342,5.23328,11.127636663999999,50.16845925668467,0.5326077987474758,69.3587771950111,73.8196878052726,74.61179553126799,70.97442965018818,70.93192998931319,71.43049049772156,72.86434434567623,72.49945439884112,61.14286456341614,90.19895389885275,0.8761866096583
AP0262,262,False,33.82764,6.43552,7.356511036000001,50.491824949861574,1.0024498976380953,71.03711399943658,66.99627124507953,68.35333839698625,70.93192998931319,65.57570878590717,67.76417300371686,70.65754805650575,58.970786778828966,67.57558133234639,86.48558492742463,0.8401635639130164
AP0263,263,False,36.99696,4.15208,9.895759592,51.290415966842815,0.6013627264343544,72.47939123224289,72.1323064018764,72.98806672227731,65.57570878590717,64.52205660370407,66.77176526234058,61.118959474395815,69.50619677261614,69.78755039635297,91.8658119275862,0.8990965524347592
AP0264,264,False,27.04212,11.45664,12.079105920000002,50.42385239880312,0.9736245934088215,53.46631279930443,53.62961914556509,54.685531695467944,64.52205660370407,63.30348712269921,66.64105009049835,62.49125037985589,62.802689954625805,62.100127794468825,77.34851047665555,0.7024153505203803
AP0265,265,False,33.831559999999996,8.3164,7.914930020000001,50.70039308878981,1.0724651153100868,67.57812021336437,66.72839782672291,68.1704060223489,63.30348712269921,68.53233392408792,66.34745397274541,67.86903973229289,67.21221029389294,70.45146004267285,83.38809446143117,0.8026855866808262
AP0266,266,False,35.35644,7.620079999999999,8.396656268000001,51.13860109531132,0.6229247578734176,68.82276426817565,69.13845753055156,69.99102568443061,68.53233392408792,69.74278173815672,66.08970760111835,68.17628933018972,71.36087762723943,76.88810044910412,85.16720095279275,0.8226920188046868
AP0267,267,False,36.987159999999996,5.891519999999999,10.612357344,51.82626644666216,1.029750503058311,69.14646235431212,71.36759511331175,72.81436396359248,69.74278173815672,72.69569964557586,70.89500336749857,72.27344911991823,77.67963749026912,71.6834658151557,88.98596794428994,0.8626002479553941
AP0268,268,False,35.323119999999996,6.87616,7.313371372000001,51.286801470113,1.1976696546919672,71.34160466303699,68.8737043205634,70.52052754710554,72.69569964557586,73.24998400166442,71.47822518084288,76.87134152872689,70.73982057113723,71.50672435359883,86.1123171362046,0.837055039801627
AP0269,269,False,37.704519999999995,4.73688,5.890960784000002,51.36619951505498,0.7611986537114013,78.01092143730281,73.40336710904441,74.50749799078045,73.24998400166442,73.1402764263984,71.92645996733704,72.071749283346,72.8171580054821,76.89710487588953,90.19936141507885,0.8883901096570801
AP0270,270,False,34.93896,5.29856,9.312175803999999,51.27228231198784,0.6361825604820204,70.51296568641997,68.14395307663341,69.00010105727186,73.1402764263984,73.15665844564921,73.74290547074284,71.28340160494808,75.51615040329126,75.87487243631864,89.30657410903366,0.8683179281426887
AP0271,271,False,34.40976,5.2088,8.866399276000001,50.41242508720921,1.0601226987373298,70.96996782883302,68.25650609046092,69.72270458457419,73.15665844564921,74.9444706314208,74.65149559518764,75.23286415625465,75.59439533660309,75.66952206980358,89.2568745487668,0.8685262664771258
AP0272,272,False,39.70176,3.7712800000000004,7.556631144000001,52.25297191732077,0.7923462149248901,77.80132442548198,75.97990801904933,77.14978094048239,74.9444706314208,76.94095016622606,74.44213615991228,78.13625905633825,78.20581711818369,74.62529261473645,92.6096329538204,0.9132501430771808
AP0273,273,False,35.101639999999996,3.42312,7.686050136,49.20519383331343,0.5308037691135468,75.9598022555646,71.33726597828196,72.11521285362203,76.94095016622606,75.33261930801366,74.98220884393047,76.03416077500717,72.2235758862213,63.964448942375995,92.59238262665025,0.9111449363993442
AP0274,274,False,36.97932,2.63976,8.42421772,51.23132275685635,0.7875506673228442,76.97081956263347,72.18107597085421,73.30799912101098,75.33261930801366,70.60639805838409,73.08352505799154,73.25678167229685,65.1566585895155,68.69500960099221,94.50545627532748,0.9333714967636805
AP0275,275,False,36.86172,4.49072,9.008999832,51.32164151684811,0.8053591657768729,73.19433305117263,71.8249044857594,72.9699777664227,70.60639805838409,67.74063568585609,71.03842703536147,65.08431037299637,68.62647072693815,70.96439314971572,91.08301904198821,0.8914037478804152
AP0276,276,False,32.66536,7.67448,12.100675751999999,51.42583859215063,0.6313720803858194,62.29031032890669,63.51935310003067,64.30889473449668,67.74063568585609,66.83030851172423,70.00644727378955,65.9677051797571,68.41256133514257,74.16354486038327,85.36536132425945,0.8097543272358045
AP0277,277,False,35.732760000000006,5.41144,11.440399228,51.009136122861605,0.6804564720786573,67.9528997550545,70.05168625858195,70.99880276601718,66.83030851172423,71.18036174240702,69.73911185239984,70.31930734697535,75.84570671185865,71.76496326490762,89.7090781722293,0.8684762372339236
