id,fase,familia,grupo_mecanistico,variante,palanca,role,theta_unidad,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda_teoria,theta_1sd_rel,sd_target,r2_oof_interno,n_obs,n_batches
R10_log_selectividad,Reducción,selectividad,selectividad,primitiva,tasa_o2_nm3_min,o2,-0.0075657078345051235,-0.0669895833381104,-0.3372036086087291,0.19139417006785572,False,0,,-0.046776281316907184,1.4321271689867567,0.6210817672678113,769,276
R10_log_selectividad,Reducción,selectividad,selectividad,primitiva,tasa_aire_nm3_min,aire,0.0034625895899518277,0.027049833341533772,-0.04060200220440174,0.0975429600479869,False,0,,0.01888787108247641,1.4321271689867567,0.6210817672678113,769,276
R10_log_selectividad,Reducción,selectividad,selectividad,cinetica,Cx_sn_v4,carbon,-0.0005898021392523521,-0.17239335657732885,-0.48868575457925273,0.14108950414994656,False,1,False,-0.12037573220491218,1.4321271689867567,0.621324787289383,769,276
R10_log_selectividad,Reducción,selectividad,selectividad,cinetica,tasa_gn_nm3_min,gn,-0.013580702077650365,-0.0675089561915389,-0.26489609031023836,0.10961192160408906,False,-1,True,-0.04713893965108009,1.4321271689867567,0.621324787289383,769,276
R10_log_selectividad,Reducción,selectividad,selectividad,cinetica,exceso_o2_combustion_pct,o2,-0.0022775462770563966,-0.0226712314870291,-0.09820418360238842,0.05619492193192074,False,0,,-0.015830459737084107,1.4321271689867567,0.621324787289383,769,276
R10_log_selectividad,Reducción,selectividad,selectividad,cinetica,tasa_aire_nm3_min,aire,0.006207343515272671,0.048491917167726516,-0.026559831486751177,0.1156740627658484,False,0,,0.03386006369953515,1.4321271689867567,0.621324787289383,769,276
R11_util_carbon,Reducción,selectividad,selectividad,primitiva,tasa_feed_Carbon_kg_min,carbon,-0.023893305378929468,-0.52906471156276,-0.5995959662222123,-0.43871297677170806,True,1,False,-1.0920525604738411,0.48446817553653193,0.6495302876202999,983,289
R11_util_carbon,Reducción,selectividad,selectividad,primitiva,tasa_gn_nm3_min,gn,0.016713771656292745,0.08228536985743092,0.037339076952883236,0.14154085372669248,True,-1,False,0.16984680111609538,0.48446817553653193,0.6495302876202999,983,289
R11_util_carbon,Reducción,selectividad,selectividad,primitiva,tasa_o2_nm3_min,o2,-0.0036775945437789786,-0.031619054329537155,-0.11028395522482808,0.04905051992514743,False,0,,-0.06526549302133237,0.48446817553653193,0.6495302876202999,983,289
R11_util_carbon,Reducción,selectividad,selectividad,primitiva,tasa_aire_nm3_min,aire,-0.004029540403778302,-0.03431936279260934,-0.07583385774015163,0.006896739980380286,False,0,,-0.07083925121521516,0.48446817553653193,0.6495302876202999,983,289
R11_util_carbon,Reducción,selectividad,selectividad,cinetica,Cx_sn_v4,carbon,-0.002207316050626981,-0.6205402191950803,-0.7124102140804304,-0.497165162845744,True,1,False,-1.2808689002282827,0.48446817553653193,0.6337110866876773,983,289
R11_util_carbon,Reducción,selectividad,selectividad,cinetica,tasa_gn_nm3_min,gn,0.0006680679139156234,0.0032890371196217893,-0.04495441820539515,0.06736798476197838,False,-1,False,0.0067889642410036396,0.48446817553653193,0.6337110866876773,983,289
R11_util_carbon,Reducción,selectividad,selectividad,cinetica,exceso_o2_combustion_pct,o2,-0.003535289376354076,-0.038046775203133876,-0.06584259175575054,-0.01554509526839258,True,0,,-0.07853307425404853,0.48446817553653193,0.6337110866876773,983,289
R11_util_carbon,Reducción,selectividad,selectividad,cinetica,tasa_aire_nm3_min,aire,-0.004650634078996206,-0.039609181737720746,-0.08111739003051484,0.0027873902318371717,False,0,,-0.08175806737739777,0.48446817553653193,0.6337110866876773,983,289
R12_d_avance,Reducción,extraccion,extraccion,primitiva,tasa_feed_Carbon_kg_min,carbon,0.00014675168225303093,0.003225346832665199,-0.0016351343577019261,0.007508021283764218,False,1,True,0.04295922072706877,0.07507926768869193,0.975097527201364,1050,290
R12_d_avance,Reducción,extraccion,extraccion,primitiva,tasa_gn_nm3_min,gn,0.0002320525772652012,0.0011529472470608634,4.901502226562882e-05,0.0020865727562663903,True,1,True,0.015356399743287782,0.07507926768869193,0.975097527201364,1050,290
R12_d_avance,Reducción,extraccion,extraccion,primitiva,tasa_o2_nm3_min,o2,5.063385270659096e-05,0.0004366439595571729,-0.0010352226525099089,0.0018593826543569967,False,-1,False,0.0058157727559047315,0.07507926768869193,0.975097527201364,1050,290
R12_d_avance,Reducción,extraccion,extraccion,primitiva,tasa_aire_nm3_min,aire,1.1737880224028675e-05,0.00011714397179009443,-0.0005176688624347061,0.0007544623685952333,False,-1,False,0.0015602705699770442,0.07507926768869193,0.975097527201364,1050,290
R12_d_avance,Reducción,extraccion,extraccion,cinetica,Cx_sn_v4,carbon,2.6844721777181797e-05,0.007395757526435864,-0.0025989649224126884,0.016482509323834917,False,1,True,0.0984827333951104,0.07509699691989924,0.9755060613489682,1049,290
R12_d_avance,Reducción,extraccion,extraccion,cinetica,tasa_gn_nm3_min,gn,0.0002609641470467286,0.0012847202362599372,-7.902554933445905e-05,0.0027028381424994887,False,1,True,0.017107478180921926,0.07509699691989924,0.9755060613489682,1049,290
R12_d_avance,Reducción,extraccion,extraccion,cinetica,exceso_o2_combustion_pct,o2,-1.1045327944725358e-05,-0.0001190274699905838,-0.000518175701124053,0.0004090075802160566,False,-1,True,-0.0015849830868409046,0.07509699691989924,0.9755060613489682,1049,290
R12_d_avance,Reducción,extraccion,extraccion,cinetica,tasa_aire_nm3_min,aire,1.3573084975309084e-05,0.00012601387162215131,-0.0005203086482038653,0.0008171515061312694,False,-1,False,0.0016780147914111875,0.07509699691989924,0.9755060613489682,1049,290
R13_sn_residual,Reducción,extraccion,extraccion,primitiva,tasa_feed_Carbon_kg_min,carbon,6.449590499742486,142.0963101994723,-60.87037993135132,370.37031269914803,False,1,True,0.15961766498299135,890.2292250335444,0.5680760326941792,1060,290
R13_sn_residual,Reducción,extraccion,extraccion,primitiva,tasa_gn_nm3_min,gn,9.025199992365785,44.93506450246769,-15.919503438638035,118.49135422488244,False,1,True,0.05047583615419333,890.2292250335444,0.5680760326941792,1060,290
R13_sn_residual,Reducción,extraccion,extraccion,primitiva,tasa_o2_nm3_min,o2,-0.42870199296718403,-3.6993955848633995,-64.99046125222172,64.95223943277294,False,-1,True,-0.00415555396389509,890.2292250335444,0.5680760326941792,1060,290
R13_sn_residual,Reducción,extraccion,extraccion,primitiva,tasa_aire_nm3_min,aire,0.07633209781781503,0.7591489386243572,-31.264689543619987,33.60226167709989,False,-1,False,0.0008527567027422089,890.2292250335444,0.5680760326941792,1060,290
R13_sn_residual,Reducción,extraccion,extraccion,cinetica,Cx_sn_v4,carbon,0.8142837630267634,232.98824384657343,-143.53021991660094,636.4829712510076,False,1,True,0.26159017791640293,890.6612843890113,0.5624067616209052,1059,290
R13_sn_residual,Reducción,extraccion,extraccion,cinetica,tasa_gn_nm3_min,gn,5.4670442656136,26.973235892240925,-30.583545825210813,96.4519891912462,False,1,True,0.03028450474384818,890.6612843890113,0.5624067616209052,1059,290
R13_sn_residual,Reducción,extraccion,extraccion,cinetica,exceso_o2_combustion_pct,o2,-1.1741164825634491,-12.64327167877161,-31.311675701471223,10.416281401361182,False,-1,True,-0.014195375840822389,890.6612843890113,0.5624067616209052,1059,290
R13_sn_residual,Reducción,extraccion,extraccion,cinetica,tasa_aire_nm3_min,aire,1.661156556068816,15.371918259434175,-17.144593916025098,41.65075182614681,False,-1,False,0.017258994557037725,890.6612843890113,0.5624067616209052,1059,290
R14_log_sn_feo_next,Reducción,selectividad,selectividad,primitiva,tasa_feed_Carbon_kg_min,carbon,0.00376835263812443,0.0830237214950792,0.0043201380568450186,0.17722457226594734,True,1,True,0.16285536289669197,0.5098003530147525,0.6706776208361186,1060,290
R14_log_sn_feo_next,Reducción,selectividad,selectividad,primitiva,tasa_gn_nm3_min,gn,0.010538561406744716,0.05246985518058953,0.011474393742096401,0.10964295121081204,True,-1,False,0.10292235944974164,0.5098003530147525,0.6706776208361186,1060,290
R14_log_sn_feo_next,Reducción,selectividad,selectividad,primitiva,tasa_o2_nm3_min,o2,-0.0013444730505023088,-0.011601853382045727,-0.06905811636287018,0.041454236828595746,False,0,,-0.02275764093421488,0.5098003530147525,0.6706776208361186,1060,290
R14_log_sn_feo_next,Reducción,selectividad,selectividad,primitiva,tasa_aire_nm3_min,aire,0.00046504725944177504,0.004625054773917062,-0.014971091303881905,0.021680823616688855,False,0,,0.009072286330455374,0.5098003530147525,0.6706776208361186,1060,290
R14_log_sn_feo_next,Reducción,selectividad,selectividad,cinetica,Cx_sn_v4,carbon,0.00041153425284607895,0.11775089619485417,0.029265509328660125,0.24045975564043956,True,1,True,0.23087367005336254,0.5100230622558131,0.6646689527814567,1059,290
