regimen,tendencia,palanca,outcome,n,cov_iv,b_ols,t_ols,b_iv,se_iv,t_iv,ci_lo,ci_hi,t_dwh,p_dwh
DEV,cubica,carbon,f_dross,298,HAC,-0.06924328527939548,-0.3750928023358083,0.09497903110572166,1.1018831807268383,0.0861970059685187,-2.0647120031188817,2.2546700653303247,-0.16974623985705825,0.865209707579138
DEV,cubica,carbon,f_polvo,298,HC1,0.12444818909726856,1.2045087513650679,-0.9323603359505288,0.9632648597333441,-0.9679168990018275,-2.8203594610278833,0.9556387891268256,1.4225908855893896,0.1548547877007099
DEV,cubica,carbon,f_polvo,298,HAC,0.12444818909726856,1.2045087513650679,-0.9323603359505288,0.7875318808006673,-1.183901704401627,-2.475922822319837,0.611202150418779,1.4225908855893896,0.1548547877007099
DEV,cubica,carbon,f_metal,298,HC1,-0.05520490381786569,-0.268306474656742,0.8373813048652025,1.2459464206845172,0.6720845222262037,-1.6046736796764511,3.2794362894068563,-0.7920469963092422,0.4283332739287756
DEV,cubica,carbon,f_metal,298,HAC,-0.05520490381786569,-0.268306474656742,0.8373813048652025,1.3522906141077158,0.6192317658122127,-1.8131082987859202,3.4878709085163253,-0.7920469963092422,0.4283332739287756
DEV,cubica,carbon,sn_perdido_escoria_frac,298,HC1,-0.03019788383782485,-0.9378695981798066,-0.010471345833551233,0.2084574678580415,-0.050232529163609374,-0.4190479828353126,0.3981052911682101,-0.09380460521938466,0.925264373382675
DEV,cubica,carbon,sn_perdido_escoria_frac,298,HAC,-0.03019788383782485,-0.9378695981798066,-0.010471345833551233,0.19468354441805238,-0.05378649677276093,-0.39205109289293394,0.37110840122583144,-0.09380460521938466,0.925264373382675
DEV,bloque40,gn,recuperacion_refinada_pct,298,HC1,-0.5598489369606364,-3.1993988666425786,1.252256813556738,1.5293807758250257,0.8187998916628247,-1.7453295070603123,4.249843134173789,-1.3128716654665096,0.18922619607841284
DEV,bloque40,gn,recuperacion_refinada_pct,298,HAC,-0.5598489369606364,-3.1993988666425786,1.252256813556738,1.602399976125259,0.7814882877025515,-1.8884471396487696,4.392960766762245,-1.3128716654665096,0.18922619607841284
DEV,bloque40,gn,f_dross,298,HC1,0.49184717176319764,4.062806870928169,0.5276968960211649,0.9865869154307144,0.534871168234365,-1.4060134582230353,2.461407250265365,-0.03301867507459292,0.9736596952045887
DEV,bloque40,gn,f_dross,298,HAC,0.49184717176319764,4.062806870928169,0.5276968960211649,0.8953936165304573,0.5893462788644026,-1.2272745923785315,2.282668384420861,-0.03301867507459292,0.9736596952045887
DEV,bloque40,gn,f_polvo,298,HC1,0.09775710929723529,0.9246524619394054,-1.736163393978599,1.224276567998648,-1.4181137165899889,-4.1357454672559495,0.6634186792987511,2.0553065896759968,0.03984940124700117
DEV,bloque40,gn,f_polvo,298,HAC,0.09775710929723529,0.9246524619394054,-1.736163393978599,1.3577454902044188,-1.2787104847737012,-4.397344554779259,0.9250177668220618,2.0553065896759968,0.03984940124700117
DEV,bloque40,gn,f_metal,298,HC1,-0.589604281060433,-3.5603618411260434,1.208466498001056,1.5704429563211688,0.7695067771400889,-1.8696016963884348,4.286534692390546,-1.2547728586535987,0.20956122803421895
DEV,bloque40,gn,f_metal,298,HAC,-0.589604281060433,-3.5603618411260434,1.208466498001056,1.6530133934939581,0.7310687879223605,-2.031439753247102,4.448372749249214,-1.2547728586535987,0.20956122803421895
DEV,bloque40,gn,sn_perdido_escoria_frac,298,HC1,-0.03219948444010312,-0.7618874782936306,-0.08572529760315781,0.20779951006070696,-0.41253849721837094,-0.49301233732214345,0.3215617421158278,0.23104465849152378,0.8172801080054006
DEV,bloque40,gn,sn_perdido_escoria_frac,298,HAC,-0.03219948444010312,-0.7618874782936306,-0.08572529760315781,0.16898789256902874,-0.5072866245026427,-0.4169415670384541,0.2454909718321385,0.23104465849152378,0.8172801080054006
